Year,Sex,Value
2010,,15.6
2011,,15.8
2012,,16.1
2013,,16.1
2014,,16.7
2015,,16.7
2016,,16.5
2017,,16.1
2018,,16.0
2019,,14.8
2020,,16.1
2021,,16.0
2022,,14.7
2010,Female,16.4
2011,Female,16.8
2012,Female,17.2
2013,Female,17.2
2014,Female,17.4
2015,Female,17.4
2016,Female,17.8
2017,Female,17.1
2018,Female,16.8
2019,Female,15.7
2020,Female,16.8
2021,Female,16.6
2022,Female,15.4
2010,Male,14.9
2011,Male,14.9
2012,Male,14.9
2013,Male,15.0
2014,Male,15.9
2015,Male,15.9
2016,Male,15.2
2017,Male,15.0
2018,Male,15.2
2019,Male,13.9
2020,Male,15.3
2021,Male,15.4
2022,Male,13.9
