Year,Sektor,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,95.1
2011,,,,,97.0
2012,,,,,98.6
2013,,,,,99.4
2014,,,,,99.8
2015,,,,,101.6
2016,,,,,100.2
2017,,,,,100.6
2018,,,,,101.4
2019,,,,,100.2
2020,,,,,87.2
2021,,,,,97.3
2022,,,,,97.1
2023,,,,,99.2
2010,Allgemeine Dienste,.,,,
2011,Allgemeine Dienste,.,,,
2012,Allgemeine Dienste,,,,101.6
2013,Allgemeine Dienste,,,,99.6
2014,Allgemeine Dienste,,,,100.2
2015,Allgemeine Dienste,,,,100.5
2016,Allgemeine Dienste,,,,100.9
2017,Allgemeine Dienste,,,,99.0
2018,Allgemeine Dienste,,,,98.3
2019,Allgemeine Dienste,,,,98.0
2020,Allgemeine Dienste,,,,97.4
2021,Allgemeine Dienste,,,,96.6
2022,Allgemeine Dienste,,,,98.8
2023,Allgemeine Dienste,,,,102.4
2010,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",.,,,
2011,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",.,,,
2012,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,98.2
2013,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,98.6
2014,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,97.5
2015,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,97.7
2016,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,97.8
2017,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,96.0
2018,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,95.3
2019,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,92.7
2020,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,94.5
2021,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,91.1
2022,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,87.0
2023,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,88.0
2010,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",.,,,
2011,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",.,,,
2012,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",,,,94.6
2013,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",,,,85.0
2014,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",,,,97.5
2015,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",,,,98.1
2016,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",,,,72.4
