Year,Zeitreihe,Geschlecht,Altersklasse,Value
2013,Tabakkonsum,,15 Jahre und älter,24.5
2017,Tabakkonsum,,15 Jahre und älter,22.4
2021,Tabakkonsum,,15 Jahre und älter,18.9
2013,Tabakkonsum,Weiblich,15 Jahre und älter,20.3
2017,Tabakkonsum,Weiblich,15 Jahre und älter,18.6
2021,Tabakkonsum,Weiblich,15 Jahre und älter,15.7
2013,Tabakkonsum,Männlich,15 Jahre und älter,29.0
2017,Tabakkonsum,Männlich,15 Jahre und älter,26.4
2021,Tabakkonsum,Männlich,15 Jahre und älter,22.3
2013,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,,27.6
2017,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,,24.4
2021,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,,20.2
