Year,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,at-risk-of-poverty rate,,,,15.6
2011,at-risk-of-poverty rate,,,,15.8
2012,at-risk-of-poverty rate,,,,16.1
2013,at-risk-of-poverty rate,,,,16.1
2014,at-risk-of-poverty rate,,,,16.7
2015,at-risk-of-poverty rate,,,,16.7
2016,at-risk-of-poverty rate,,,,16.5
2017,at-risk-of-poverty rate,,,,16.1
2018,at-risk-of-poverty rate,,,,16.0
2019,at-risk-of-poverty rate,,,,14.8
2020,at-risk-of-poverty rate,|,,,16.1
2021,at-risk-of-poverty rate,,,,16.0
2022,at-risk-of-poverty rate,,,,14.8
2023,at-risk-of-poverty rate,,,,14.4
2010,government expenditure on social protection,r,,,40.82
2011,government expenditure on social protection,r,,,40.9
2012,government expenditure on social protection,r,,,41.04
2013,government expenditure on social protection,r,,,41.15
2014,government expenditure on social protection,r,,,41.35
2015,government expenditure on social protection,r,,,42.06
2016,government expenditure on social protection,r,,,42.77
2017,government expenditure on social protection,r,,,42.73
2018,government expenditure on social protection,r,,,42.27
2019,government expenditure on social protection,r,,,42.21
2020,government expenditure on social protection,p,,,41.86
2021,government expenditure on social protection,p,,,40.41
2022,government expenditure on social protection,p,,,40.79
2023,government expenditure on social protection,p,,,40.62
