Year,Rechtsgebiet,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2011,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2012,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2013,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2014,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2015,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2016,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2017,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2018,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,,,,70.0
2019,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2020,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,,,,70.0
2021,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2022,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,|,,,70.0
2023,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,.,,,
2024,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,,,,70.0
2010,Bereich 2: Gewalt gegen Frauen,.,,,
2011,Bereich 2: Gewalt gegen Frauen,.,,,
2012,Bereich 2: Gewalt gegen Frauen,.,,,
2013,Bereich 2: Gewalt gegen Frauen,.,,,
2014,Bereich 2: Gewalt gegen Frauen,.,,,
2015,Bereich 2: Gewalt gegen Frauen,.,,,
2016,Bereich 2: Gewalt gegen Frauen,.,,,
2017,Bereich 2: Gewalt gegen Frauen,.,,,
2018,Bereich 2: Gewalt gegen Frauen,,,,83.0
2019,Bereich 2: Gewalt gegen Frauen,.,,,
2020,Bereich 2: Gewalt gegen Frauen,,,,83.0
2021,Bereich 2: Gewalt gegen Frauen,.,,,
2022,Bereich 2: Gewalt gegen Frauen,|,,,100.0
2023,Bereich 2: Gewalt gegen Frauen,.,,,
2024,Bereich 2: Gewalt gegen Frauen,,,,100.0
2010,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2011,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2012,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2013,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2014,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2015,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2016,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2017,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2018,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,,,,100.0
2019,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2020,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,,,,100.0
2021,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2022,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,|,,,100.0
2023,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,.,,,
2024,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,,,,100.0
2010,Bereich 4: Ehe und Familie,.,,,
2011,Bereich 4: Ehe und Familie,.,,,
2012,Bereich 4: Ehe und Familie,.,,,
2013,Bereich 4: Ehe und Familie,.,,,
2014,Bereich 4: Ehe und Familie,.,,,
2015,Bereich 4: Ehe und Familie,.,,,
2016,Bereich 4: Ehe und Familie,.,,,
2017,Bereich 4: Ehe und Familie,.,,,
2018,Bereich 4: Ehe und Familie,,,,100.0
2019,Bereich 4: Ehe und Familie,.,,,
2020,Bereich 4: Ehe und Familie,,,,100.0
2021,Bereich 4: Ehe und Familie,.,,,
2022,Bereich 4: Ehe und Familie,|,,,100.0
2023,Bereich 4: Ehe und Familie,.,,,
2024,Bereich 4: Ehe und Familie,,,,100.0
