Year,Units,Betrachtetes Einkommen,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2011,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2012,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2013,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2014,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2015,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2016,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2017,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2018,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2019,Gini-Koeffizienz-Punkte,,.,,,Umverteilende Wirkung der Fiskalpolitik,
2020,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,10.4
2021,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,14.3
2022,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,17.0
2023,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,16.7
2024,Gini-Koeffizienz-Punkte,,,,,Umverteilende Wirkung der Fiskalpolitik,18.2
2010,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2011,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2012,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2013,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2014,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2015,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2016,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2017,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2018,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2019,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),.,,,Gini-Koeffizientenen,
2020,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,40.9
2021,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,45.5
2022,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,46.0
2023,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,46.1
2024,Gini-Koeffizient,Marktäquivalenzeinkommen (Bruttoeinkommen ohne Sozialtransfers),,,,Gini-Koeffizientenen,47.7
2010,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2011,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2012,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2013,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2014,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2015,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2016,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2017,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2018,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2019,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),.,,,Gini-Koeffizientenen,
2020,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,30.5
2021,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,31.2
2022,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,29.0
2023,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,29.4
2024,Gini-Koeffizient,Verfügbares Äquivalenzeinkommen (Nettoeinkommen inkl. Sozialtransfers),,,,Gini-Koeffizientenen,29.5
