Year,Zeitreihe,Erkrankung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Personen mit Behandlungsbedarf,,,,,720
2011,Personen mit Behandlungsbedarf,,,,,437
2012,Personen mit Behandlungsbedarf,,,,,740
2013,Personen mit Behandlungsbedarf,,,,,1011
2014,Personen mit Behandlungsbedarf,,,,,758
2015,Personen mit Behandlungsbedarf,,,,,882
2016,Personen mit Behandlungsbedarf,,,,,1139
2017,Personen mit Behandlungsbedarf,,,,,777
2018,Personen mit Behandlungsbedarf,,,,,788
2019,Personen mit Behandlungsbedarf,,r,,,1326
2020,Personen mit Behandlungsbedarf,,,,,374
2021,Personen mit Behandlungsbedarf,,r,,,225
2022,Personen mit Behandlungsbedarf,,r,,,558
2023,Personen mit Behandlungsbedarf,,,,,1142
2010,Personen mit Behandlungsbedarf,Dengue,,,,595
2011,Personen mit Behandlungsbedarf,Dengue,,,,288
2012,Personen mit Behandlungsbedarf,Dengue,,,,616
2013,Personen mit Behandlungsbedarf,Dengue,,,,878
2014,Personen mit Behandlungsbedarf,Dengue,,,,625
2015,Personen mit Behandlungsbedarf,Dengue,,,,725
2016,Personen mit Behandlungsbedarf,Dengue,,,,956
2017,Personen mit Behandlungsbedarf,Dengue,,,,635
2018,Personen mit Behandlungsbedarf,Dengue,,,,612
2019,Personen mit Behandlungsbedarf,Dengue,r,,,1175
2020,Personen mit Behandlungsbedarf,Dengue,,,,203
2021,Personen mit Behandlungsbedarf,Dengue,,,,60
2022,Personen mit Behandlungsbedarf,Dengue,,,,375
2023,Personen mit Behandlungsbedarf,Dengue,,,,953
2010,Personen mit Behandlungsbedarf,Echinokokkose,,,,123
2011,Personen mit Behandlungsbedarf,Echinokokkose,,,,147
2012,Personen mit Behandlungsbedarf,Echinokokkose,,,,119
2013,Personen mit Behandlungsbedarf,Echinokokkose,,,,132
2014,Personen mit Behandlungsbedarf,Echinokokkose,,,,131
2015,Personen mit Behandlungsbedarf,Echinokokkose,,,,157
2016,Personen mit Behandlungsbedarf,Echinokokkose,,,,181
2017,Personen mit Behandlungsbedarf,Echinokokkose,,,,141
2018,Personen mit Behandlungsbedarf,Echinokokkose,,,,176
2019,Personen mit Behandlungsbedarf,Echinokokkose,,,,150
2020,Personen mit Behandlungsbedarf,Echinokokkose,,,,171
2021,Personen mit Behandlungsbedarf,Echinokokkose,r,,,163
2022,Personen mit Behandlungsbedarf,Echinokokkose,r,,,180
2023,Personen mit Behandlungsbedarf,Echinokokkose,,,,186
2010,Personen mit Behandlungsbedarf,Lepra,,,,2
2011,Personen mit Behandlungsbedarf,Lepra,,,,2
2012,Personen mit Behandlungsbedarf,Lepra,,,,5
2013,Personen mit Behandlungsbedarf,Lepra,,,,1
2014,Personen mit Behandlungsbedarf,Lepra,,,,2
2015,Personen mit Behandlungsbedarf,Lepra,-,,,0
2016,Personen mit Behandlungsbedarf,Lepra,,,,2
2017,Personen mit Behandlungsbedarf,Lepra,,,,1
2018,Personen mit Behandlungsbedarf,Lepra,-,,,0
2019,Personen mit Behandlungsbedarf,Lepra,,,,1
2020,Personen mit Behandlungsbedarf,Lepra,-,,,0
2021,Personen mit Behandlungsbedarf,Lepra,,,,2
2022,Personen mit Behandlungsbedarf,Lepra,,,,3
2023,Personen mit Behandlungsbedarf,Lepra,,,,3
2010,Stationäre Behandlung,,,,,406
2011,Stationäre Behandlung,,,,,428
2012,Stationäre Behandlung,,,,,427
2013,Stationäre Behandlung,,,,,418
2014,Stationäre Behandlung,,,,,496
2015,Stationäre Behandlung,,,,,580
2016,Stationäre Behandlung,,,,,1031
2017,Stationäre Behandlung,,,,,899
2018,Stationäre Behandlung,,,,,764
2019,Stationäre Behandlung,,,,,981
2020,Stationäre Behandlung,,,,,628
2021,Stationäre Behandlung,,,,,576
2022,Stationäre Behandlung,,,,,661
2023,Stationäre Behandlung,,,,,993
2010,Stationäre Behandlung,Buruli-Ulkus,,,,30
2011,Stationäre Behandlung,Buruli-Ulkus,,,,20
2012,Stationäre Behandlung,Buruli-Ulkus,,,,16
2013,Stationäre Behandlung,Buruli-Ulkus,,,,30
2014,Stationäre Behandlung,Buruli-Ulkus,,,,26
2015,Stationäre Behandlung,Buruli-Ulkus,,,,29
2016,Stationäre Behandlung,Buruli-Ulkus,,,,28
2017,Stationäre Behandlung,Buruli-Ulkus,,,,22
2018,Stationäre Behandlung,Buruli-Ulkus,,,,18
2019,Stationäre Behandlung,Buruli-Ulkus,,,,22
2020,Stationäre Behandlung,Buruli-Ulkus,,,,28
2021,Stationäre Behandlung,Buruli-Ulkus,,,,25
2022,Stationäre Behandlung,Buruli-Ulkus,,,,20
2023,Stationäre Behandlung,Buruli-Ulkus,,,,27
2010,Stationäre Behandlung,Echinokokkose,,,,323
2011,Stationäre Behandlung,Echinokokkose,,,,373
2012,Stationäre Behandlung,Echinokokkose,,,,359
2013,Stationäre Behandlung,Echinokokkose,,,,332
2014,Stationäre Behandlung,Echinokokkose,,,,387
2015,Stationäre Behandlung,Echinokokkose,,,,439
2016,Stationäre Behandlung,Echinokokkose,,,,577
2017,Stationäre Behandlung,Echinokokkose,,,,531
2018,Stationäre Behandlung,Echinokokkose,,,,494
2019,Stationäre Behandlung,Echinokokkose,,,,529
2020,Stationäre Behandlung,Echinokokkose,,,,498
2021,Stationäre Behandlung,Echinokokkose,,,,468
2022,Stationäre Behandlung,Echinokokkose,,,,452
2023,Stationäre Behandlung,Echinokokkose,,,,561
2010,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,1
2011,Stationäre Behandlung,Afrikanische Trypanosomiasis,-,,,0
2012,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,3
2013,Stationäre Behandlung,Afrikanische Trypanosomiasis,-,,,0
2014,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,2
2015,Stationäre Behandlung,Afrikanische Trypanosomiasis,-,,,0
2016,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,1
2017,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,2
2018,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,1
2019,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,3
2020,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,1
2021,Stationäre Behandlung,Afrikanische Trypanosomiasis,-,,,0
2022,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,2
2023,Stationäre Behandlung,Afrikanische Trypanosomiasis,,,,1
2010,Stationäre Behandlung,Lepra,,,,4
2011,Stationäre Behandlung,Lepra,,,,7
2012,Stationäre Behandlung,Lepra,,,,11
2013,Stationäre Behandlung,Lepra,,,,6
2014,Stationäre Behandlung,Lepra,,,,11
2015,Stationäre Behandlung,Lepra,,,,5
2016,Stationäre Behandlung,Lepra,,,,8
2017,Stationäre Behandlung,Lepra,,,,3
2018,Stationäre Behandlung,Lepra,,,,2
2019,Stationäre Behandlung,Lepra,,,,7
2020,Stationäre Behandlung,Lepra,,,,2
2021,Stationäre Behandlung,Lepra,,,,5
2022,Stationäre Behandlung,Lepra,,,,2
