Year,timeseries,Value
2010,growth rate of income of the total population (%),-0.2
2011,growth rate of income of the total population (%),-1.8
2012,growth rate of income of the total population (%),0.4
2013,growth rate of income of the total population (%),-1.0
2014,growth rate of income of the total population (%),-0.3
2015,growth rate of income of the total population (%),4.5
2016,growth rate of income of the total population (%),2.8
2017,growth rate of income of the total population (%),2.0
2018,growth rate of income of the total population (%),2.5
2019,growth rate of income of the total population (%),-0.3
2010,growth rate of income of the bottom 40 per cent of the population (%),-0.6
2011,growth rate of income of the bottom 40 per cent of the population (%),-1.8
2012,growth rate of income of the bottom 40 per cent of the population (%),1.5
2013,growth rate of income of the bottom 40 per cent of the population (%),-3.3
2014,growth rate of income of the bottom 40 per cent of the population (%),-3.9
2015,growth rate of income of the bottom 40 per cent of the population (%),6.5
2016,growth rate of income of the bottom 40 per cent of the population (%),4.2
2017,growth rate of income of the bottom 40 per cent of the population (%),3.3
2018,growth rate of income of the bottom 40 per cent of the population (%),-1.3
2019,growth rate of income of the bottom 40 per cent of the population (%),2.1
