Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Million tonnes,,,,Raw material consumption (RMC),1156.0
2011,Million tonnes,,,,Raw material consumption (RMC),1249.0
2012,Million tonnes,,,,Raw material consumption (RMC),1181.0
2013,Million tonnes,,,,Raw material consumption (RMC),1182.0
2014,Million tonnes,,,,Raw material consumption (RMC),1187.0
2015,Million tonnes,,,,Raw material consumption (RMC),1144.0
2016,Million tonnes,,,,Raw material consumption (RMC),1189.0
2017,Million tonnes,,,,Raw material consumption (RMC),1223.0
2018,Million tonnes,,,,Raw material consumption (RMC),1247.0
2019,Million tonnes,,,,Raw material consumption (RMC),1230.0
2020,Million tonnes,,,,Raw material consumption (RMC),1145.0
2021,Million tonnes,,,,Raw material consumption (RMC),1320.0
2022,Million tonnes,,,,Raw material consumption (RMC),1318.0
2023,Million tonnes,p,,,Raw material consumption (RMC),1188.0
2010,Tonnes per capita,,,,Raw material consumption (RMC),14.4
2011,Tonnes per capita,,,,Raw material consumption (RMC),15.6
2012,Tonnes per capita,,,,Raw material consumption (RMC),14.7
2013,Tonnes per capita,,,,Raw material consumption (RMC),14.7
2014,Tonnes per capita,,,,Raw material consumption (RMC),14.7
2015,Tonnes per capita,,,,Raw material consumption (RMC),14.1
2016,Tonnes per capita,,,,Raw material consumption (RMC),14.5
2017,Tonnes per capita,,,,Raw material consumption (RMC),14.9
2018,Tonnes per capita,,,,Raw material consumption (RMC),15.2
2019,Tonnes per capita,,,,Raw material consumption (RMC),15.0
2020,Tonnes per capita,,,,Raw material consumption (RMC),13.9
2021,Tonnes per capita,,,,Raw material consumption (RMC),16.1
2022,Tonnes per capita,,,,Raw material consumption (RMC),16.0
2023,Tonnes per capita,p,,,Raw material consumption (RMC),14.3
2010,2020 = 100,,,,Raw material consumption per real GDP,112.9
2011,2020 = 100,,,,Raw material consumption per real GDP,117.6
2012,2020 = 100,,,,Raw material consumption per real GDP,110.7
2013,2020 = 100,,,,Raw material consumption per real GDP,110.3
2014,2020 = 100,,,,Raw material consumption per real GDP,108.4
2015,2020 = 100,,,,Raw material consumption per real GDP,102.8
2016,2020 = 100,,,,Raw material consumption per real GDP,104.5
2017,2020 = 100,,,,Raw material consumption per real GDP,104.6
2018,2020 = 100,,,,Raw material consumption per real GDP,105.4
2019,2020 = 100,,,,Raw material consumption per real GDP,103.0
2020,2020 = 100,,,,Raw material consumption per real GDP,100.0
2021,2020 = 100,,,,Raw material consumption per real GDP,110.9
2022,2020 = 100,,,,Raw material consumption per real GDP,108.8
2023,2020 = 100,p,,,Raw material consumption per real GDP,98.9
