Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Percentage,,,,Manufacturing gross value added as a proportion of GDP,19.4
2011,Percentage,,,,Manufacturing gross value added as a proportion of GDP,20.1
2012,Percentage,,,,Manufacturing gross value added as a proportion of GDP,20.0
2013,Percentage,r,,,Manufacturing gross value added as a proportion of GDP,19.7
2014,Percentage,,,,Manufacturing gross value added as a proportion of GDP,20.1
2015,Percentage,,,,Manufacturing gross value added as a proportion of GDP,20.1
2016,Percentage,,,,Manufacturing gross value added as a proportion of GDP,20.4
2017,Percentage,r,,,Manufacturing gross value added as a proportion of GDP,20.0
2018,Percentage,r,,,Manufacturing gross value added as a proportion of GDP,19.7
2019,Percentage,r,,,Manufacturing gross value added as a proportion of GDP,19.2
2020,Percentage,r,,,Manufacturing gross value added as a proportion of GDP,18.4
2021,Percentage,r,,,Manufacturing gross value added as a proportion of GDP,18.2
2022,Percentage,,,,Manufacturing gross value added as a proportion of GDP,18.2
2023,Percentage,p,,,Manufacturing gross value added as a proportion of GDP,18.6
2024,Percentage,p,,,Manufacturing gross value added as a proportion of GDP,18.1
2025,Percentage,p,,,Manufacturing gross value added as a proportion of GDP,17.6
2010,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,21.7
2011,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,22.5
2012,Percentage,r,,,Manufacturing gross value added as a proportion of total gross value added,22.4
2013,Percentage,r,,,Manufacturing gross value added as a proportion of total gross value added,22.1
2014,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,22.5
2015,Percentage,r,,,Manufacturing gross value added as a proportion of total gross value added,22.5
2016,Percentage,r,,,Manufacturing gross value added as a proportion of total gross value added,228.0
2017,Percentage,r,,,Manufacturing gross value added as a proportion of total gross value added,22.4
2018,Percentage,r,,,Manufacturing gross value added as a proportion of total gross value added,22.0
2019,Percentage,r,,,Manufacturing gross value added as a proportion of total gross value added,21.5
2020,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,20.6
2021,Percentage,r,,,Manufacturing gross value added as a proportion of total gross value added,20.3
2022,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,20.3
2023,Percentage,p,,,Manufacturing gross value added as a proportion of total gross value added,20.4
2024,Percentage,p,,,Manufacturing gross value added as a proportion of total gross value added,19.9
2025,Percentage,p,,,Manufacturing gross value added as a proportion of total gross value added,19.4
2010,EUR,,,,Manufacturing gross value added per capita,6329.0
2011,EUR,,,,Manufacturing gross value added per capita,6886.0
2012,EUR,,,,Manufacturing gross value added per capita,6981.0
2013,EUR,r,,,Manufacturing gross value added per capita,7034.0
2014,EUR,r,,,Manufacturing gross value added per capita,7428.0
2015,EUR,r,,,Manufacturing gross value added per capita,7641.0
2016,EUR,r,,,Manufacturing gross value added per capita,7967.0
2017,EUR,r,,,Manufacturing gross value added per capita,8164.0
2018,EUR,r,,,Manufacturing gross value added per capita,8280.0
2019,EUR,r,,,Manufacturing gross value added per capita,8311.0
2020,EUR,r,,,Manufacturing gross value added per capita,7793.0
2021,EUR,r,,,Manufacturing gross value added per capita,8349.0
2022,EUR,,,,Manufacturing gross value added per capita,8867.0
2023,EUR,p,,,Manufacturing gross value added per capita,9512.0
2024,EUR,p,,,Manufacturing gross value added per capita,9497.0
2025,EUR,p,,,Manufacturing gross value added per capita,9446.0
