Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Million tonnes,,,,Domestic material consumption (DMC),1228.0
2011,Million tonnes,,,,Domestic material consumption (DMC),1311.0
2012,Million tonnes,,,,Domestic material consumption (DMC),1265.0
2013,Million tonnes,,,,Domestic material consumption (DMC),1267.0
2014,Million tonnes,,,,Domestic material consumption (DMC),1289.0
2015,Million tonnes,,,,Domestic material consumption (DMC),1248.0
2016,Million tonnes,,,,Domestic material consumption (DMC),1264.0
2017,Million tonnes,,,,Domestic material consumption (DMC),1279.0
2018,Million tonnes,,,,Domestic material consumption (DMC),1231.0
2019,Million tonnes,,,,Domestic material consumption (DMC),1190.0
2020,Million tonnes,,,,Domestic material consumption (DMC),1157.0
2021,Million tonnes,,,,Domestic material consumption (DMC),1187.0
2022,Million tonnes,,,,Domestic material consumption (DMC),1141.0
2023,Million tonnes,,,,Domestic material consumption (DMC),1025.0
2024,Million tonnes,,,,Domestic material consumption (DMC),984.0
2010,Tonnes per capita,r,,,Domestic material consumption (DMC),15.3
2011,Tonnes per capita,,,,Domestic material consumption (DMC),16.3
2012,Tonnes per capita,,,,Domestic material consumption (DMC),15.7
2013,Tonnes per capita,,,,Domestic material consumption (DMC),15.7
2014,Tonnes per capita,,,,Domestic material consumption (DMC),16.0
2015,Tonnes per capita,,,,Domestic material consumption (DMC),15.3
2016,Tonnes per capita,,,,Domestic material consumption (DMC),15.4
2017,Tonnes per capita,,,,Domestic material consumption (DMC),15.6
2018,Tonnes per capita,,,,Domestic material consumption (DMC),15.0
2019,Tonnes per capita,,,,Domestic material consumption (DMC),14.5
2020,Tonnes per capita,,,,Domestic material consumption (DMC),14.1
2021,Tonnes per capita,,,,Domestic material consumption (DMC),14.5
2022,Tonnes per capita,,,,Domestic material consumption (DMC),13.8
2023,Tonnes per capita,,,,Domestic material consumption (DMC),12.3
2024,Tonnes per capita,,,,Domestic material consumption (DMC),11.8
2010,2020 = 100,,,,Domestic material consumption per real GDP,118.8
2011,2020 = 100,,,,Domestic material consumption per real GDP,122.2
2012,2020 = 100,,,,Domestic material consumption per real GDP,117.4
2013,2020 = 100,,,,Domestic material consumption per real GDP,117.0
2014,2020 = 100,,,,Domestic material consumption per real GDP,116.6
2015,2020 = 100,,,,Domestic material consumption per real GDP,111.0
2016,2020 = 100,,,,Domestic material consumption per real GDP,110.0
2017,2020 = 100,,,,Domestic material consumption per real GDP,108.2
2018,2020 = 100,,,,Domestic material consumption per real GDP,103.0
2019,2020 = 100,,,,Domestic material consumption per real GDP,98.7
2020,2020 = 100,,,,Domestic material consumption per real GDP,100.0
2021,2020 = 100,,,,Domestic material consumption per real GDP,98.8
2022,2020 = 100,p,,,Domestic material consumption per real GDP,93.2
2023,2020 = 100,p,,,Domestic material consumption per real GDP,84.5
2024,2020 = 100,p,,,Domestic material consumption per real GDP,81.5
