Year,Units,type of unpaid work,degree of urbanisation,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,percentage,domestic and care work,,,,,,,12.4
2022,percentage,domestic and care work,,,,,,,12.6
2013,percentage,domestic and care work,urban,,,,,,12.3
2022,percentage,domestic and care work,urban,,,,,,12.6
2013,percentage,domestic and care work,rural areas,,,,,,12.6
2022,percentage,domestic and care work,rural areas,,,,,,12.9
2013,percentage,domestic and care work,,15 years and older,,,,,12.8
2022,percentage,domestic and care work,,15 years and older,,,,,13.1
2013,percentage,domestic and care work,,15 to under 25 years,,,,,5.4
2022,percentage,domestic and care work,,15 to under 25 years,,,,,5.7
2013,percentage,domestic and care work,,25 to under 45 years,,,,,13.6
2022,percentage,domestic and care work,,25 to under 45 years,,,,,13.9
2013,percentage,domestic and care work,,45 to under 55 years,,,,,13.0
2022,percentage,domestic and care work,,45 to under 55 years,,,,,13.0
2013,percentage,domestic and care work,,55 to under 65 years,,,,,13.5
2022,percentage,domestic and care work,,55 to under 65 years,,,,,13.2
2013,percentage,domestic and care work,,65 years and older,,,,,15.5
2022,percentage,domestic and care work,,65 years and older,,,,,15.3
2013,percentage,domestic and care work,,,female,,,,15.2
2022,percentage,domestic and care work,,,female,,,,15.1
2013,percentage,domestic and care work,,,male,,,,9.6
2022,percentage,domestic and care work,,,male,,,,10.1
2013,percentage,domestic and care work,urban,,female,,,,15.1
2022,percentage,domestic and care work,urban,,female,,,,15.1
2013,percentage,domestic and care work,rural areas,,female,,,,15.5
2022,percentage,domestic and care work,rural areas,,female,,,,15.4
2013,percentage,domestic and care work,,15 years and older,female,,,,15.7
2022,percentage,domestic and care work,,15 years and older,female,,,,15.7
2013,percentage,domestic and care work,,15 to under 25 years,female,,,,6.8
2022,percentage,domestic and care work,,15 to under 25 years,female,,,,7.1
2013,percentage,domestic and care work,,25 to under 45 years,female,,,,17.8
2022,percentage,domestic and care work,,25 to under 45 years,female,,,,17.6
2013,percentage,domestic and care work,,45 to under 55 years,female,,,,15.8
2022,percentage,domestic and care work,,45 to under 55 years,female,,,,15.7
2013,percentage,domestic and care work,,55 to under 65 years,female,,,,16.0
2022,percentage,domestic and care work,,55 to under 65 years,female,,,,15.4
2013,percentage,domestic and care work,,65 years and older,female,,,,17.5
2022,percentage,domestic and care work,,65 years and older,female,,,,16.7
2013,percentage,domestic and care work,urban,,male,,,,9.6
2022,percentage,domestic and care work,urban,,male,,,,10.1
2013,percentage,domestic and care work,rural areas,,male,,,,9.8
2022,percentage,domestic and care work,rural areas,,male,,,,10.3
2013,percentage,domestic and care work,,15 years and older,male,,,,9.9
2022,percentage,domestic and care work,,15 years and older,male,,,,10.5
2013,percentage,domestic and care work,,15 to under 25 years,male,,,,4.1
2022,percentage,domestic and care work,,15 to under 25 years,male,,,,4.3
2013,percentage,domestic and care work,,25 to under 45 years,male,,,,9.5
2022,percentage,domestic and care work,,25 to under 45 years,male,,,,10.1
2013,percentage,domestic and care work,,45 to under 55 years,male,,,,10.2
2022,percentage,domestic and care work,,45 to under 55 years,male,,,,10.4
2013,percentage,domestic and care work,,55 to under 65 years,male,,,,10.9
2022,percentage,domestic and care work,,55 to under 65 years,male,,,,10.9
2013,percentage,domestic and care work,,65 years and older,male,,,,13.6
2022,percentage,domestic and care work,,65 years and older,male,,,,13.9
2013,percentage,domestic and care work,urban,15 years and older,,,,,12.8
2022,percentage,domestic and care work,urban,15 years and older,,,,,13.1
2013,percentage,domestic and care work,urban,15 to under 25 years,,,,,5.5
2022,percentage,domestic and care work,urban,15 to under 25 years,,,,,5.9
2013,percentage,domestic and care work,urban,25 to under 45 years,,,,,13.4
2022,percentage,domestic and care work,urban,25 to under 45 years,,,,,13.9
2013,percentage,domestic and care work,urban,45 to under 55 years,,,,,12.9
2022,percentage,domestic and care work,urban,45 to under 55 years,,,,,12.9
2013,percentage,domestic and care work,urban,55 to under 65 years,,,,,13.4
2022,percentage,domestic and care work,urban,55 to under 65 years,,,,,13.0
2013,percentage,domestic and care work,urban,65 years and older,,,,,15.6
2022,percentage,domestic and care work,urban,65 years and older,,,,,15.0
2013,percentage,domestic and care work,rural areas,15 years and older,,,,,13.0
2022,percentage,domestic and care work,rural areas,15 years and older,,,,,13.4
2013,percentage,domestic and care work,rural areas,15 to under 25 years,,,,,5.4
2022,percentage,domestic and care work,rural areas,15 to under 25 years,,,,,5.0
2013,percentage,domestic and care work,rural areas,25 to under 45 years,,,,,14.5
2022,percentage,domestic and care work,rural areas,25 to under 45 years,,,,,13.7
2013,percentage,domestic and care work,rural areas,45 to under 55 years,,,,,13.2
2022,percentage,domestic and care work,rural areas,45 to under 55 years,,,,,13.4
2013,percentage,domestic and care work,rural areas,55 to under 65 years,,,,,13.6
2022,percentage,domestic and care work,rural areas,55 to under 65 years,,,,,14.0
2013,percentage,domestic and care work,rural areas,65 years and older,,,,,15.4
2022,percentage,domestic and care work,rural areas,65 years and older,,,,,16.2
2013,percentage,domestic and care work,urban,15 years and older,female,,,,15.7
2022,percentage,domestic and care work,urban,15 years and older,female,,,,15.7
2013,percentage,domestic and care work,urban,15 to under 25 years,female,,,,6.9
2022,percentage,domestic and care work,urban,15 to under 25 years,female,,,,7.3
2013,percentage,domestic and care work,urban,25 to under 45 years,female,,,,17.5
2022,percentage,domestic and care work,urban,25 to under 45 years,female,,,,17.7
2013,percentage,domestic and care work,urban,45 to under 55 years,female,,,,15.7
2022,percentage,domestic and care work,urban,45 to under 55 years,female,,,,15.6
2013,percentage,domestic and care work,urban,55 to under 65 years,female,,,,16.1
2022,percentage,domestic and care work,urban,55 to under 65 years,female,,,,15.3
2013,percentage,domestic and care work,urban,65 years and older,female,,,,17.5
2022,percentage,domestic and care work,urban,65 years and older,female,,,,16.4
2013,percentage,domestic and care work,rural areas,15 years and older,female,,,,16.0
2022,percentage,domestic and care work,rural areas,15 years and older,female,,,,15.9
2013,percentage,domestic and care work,rural areas,15 to under 25 years,female,,,,6.5
2022,percentage,domestic and care work,rural areas,15 to under 25 years,female,,,,6.2
2013,percentage,domestic and care work,rural areas,25 to under 45 years,female,,,,19.3
2022,percentage,domestic and care work,rural areas,25 to under 45 years,female,,,,17.5
2013,percentage,domestic and care work,rural areas,45 to under 55 years,female,,,,16.1
2022,percentage,domestic and care work,rural areas,45 to under 55 years,female,,,,15.8
2013,percentage,domestic and care work,rural areas,55 to under 65 years,female,,,,15.4
2022,percentage,domestic and care work,rural areas,55 to under 65 years,female,,,,15.8
2013,percentage,domestic and care work,rural areas,65 years and older,female,,,,17.6
2022,percentage,domestic and care work,rural areas,65 years and older,female,,,,17.4
2013,percentage,domestic and care work,urban,15 years and older,male,,,,9.9
2022,percentage,domestic and care work,urban,15 years and older,male,,,,10.5
2013,percentage,domestic and care work,urban,15 to under 25 years,male,,,,4.1
2022,percentage,domestic and care work,urban,15 to under 25 years,male,,,,4.4
2013,percentage,domestic and care work,urban,25 to under 45 years,male,,,,9.4
2022,percentage,domestic and care work,urban,25 to under 45 years,male,,,,10.2
2013,percentage,domestic and care work,urban,45 to under 55 years,male,,,,10.2
2022,percentage,domestic and care work,urban,45 to under 55 years,male,,,,10.2
2013,percentage,domestic and care work,urban,55 to under 65 years,male,,,,10.7
2022,percentage,domestic and care work,urban,55 to under 65 years,male,,,,10.6
2013,percentage,domestic and care work,urban,65 years and older,male,,,,13.7
2022,percentage,domestic and care work,urban,65 years and older,male,,,,13.7
2013,percentage,domestic and care work,rural areas,15 years and older,male,,,,10.1
2022,percentage,domestic and care work,rural areas,15 years and older,male,,,,10.8
2013,percentage,domestic and care work,rural areas,15 to under 25 years,male,,,,4.3
2022,percentage,domestic and care work,rural areas,15 to under 25 years,male,,,,3.8
2013,percentage,domestic and care work,rural areas,25 to under 45 years,male,,,,9.8
2022,percentage,domestic and care work,rural areas,25 to under 45 years,male,,,,9.9
2013,percentage,domestic and care work,rural areas,45 to under 55 years,male,,,,10.2
2022,percentage,domestic and care work,rural areas,45 to under 55 years,male,,,,11.0
2013,percentage,domestic and care work,rural areas,55 to under 65 years,male,,,,11.9
2022,percentage,domestic and care work,rural areas,55 to under 65 years,male,,,,12.2
2013,percentage,domestic and care work,rural areas,65 years and older,male,,,,13.2
2022,percentage,domestic and care work,rural areas,65 years and older,male,,,,14.9
2013,percentage,domestic work,,,,,,,11.2
2022,percentage,domestic work,,,,,,,10.9
2013,percentage,domestic work,urban,,,,,,11.1
2022,percentage,domestic work,urban,,,,,,10.9
2013,percentage,domestic work,rural areas,,,,,,11.5
2022,percentage,domestic work,rural areas,,,,,,11.3
2013,percentage,domestic work,,15 years and older,,,,,11.6
2022,percentage,domestic work,,15 years and older,,,,,11.3
2013,percentage,domestic work,,15 to under 25 years,,,,,5.2
2022,percentage,domestic work,,15 to under 25 years,,,,,5.4
2013,percentage,domestic work,,25 to under 45 years,,,,,10.2
2022,percentage,domestic work,,25 to under 45 years,,,,,9.3
2013,percentage,domestic work,,45 to under 55 years,,,,,12.2
2022,percentage,domestic work,,45 to under 55 years,,,,,11.5
2013,percentage,domestic work,,55 to under 65 years,,,,,13.2
2022,percentage,domestic work,,55 to under 65 years,,,,,12.9
2013,percentage,domestic work,,65 years and older,,,,,15.4
2022,percentage,domestic work,,65 years and older,,,,,15.1
2013,percentage,domestic work,,,female,,,,13.6
2022,percentage,domestic work,,,female,,,,12.9
2013,percentage,domestic work,,,male,,,,8.8
2022,percentage,domestic work,,,male,,,,9.0
2013,percentage,domestic work,urban,,female,,,,13.5
2022,percentage,domestic work,urban,,female,,,,12.8
2013,percentage,domestic work,rural areas,,female,,,,13.9
2022,percentage,domestic work,rural areas,,female,,,,13.3
2013,percentage,domestic work,,15 years and older,female,,,,14.0
2022,percentage,domestic work,,15 years and older,female,,,,13.4
2013,percentage,domestic work,,15 to under 25 years,female,,,,6.4
2022,percentage,domestic work,,15 to under 25 years,female,,,,6.7
2013,percentage,domestic work,,25 to under 45 years,female,,,,12.9
2022,percentage,domestic work,,25 to under 45 years,female,,,,11.3
2013,percentage,domestic work,,45 to under 55 years,female,,,,14.9
2022,percentage,domestic work,,45 to under 55 years,female,,,,14.0
2013,percentage,domestic work,,55 to under 65 years,female,,,,15.7
2022,percentage,domestic work,,55 to under 65 years,female,,,,15.2
2013,percentage,domestic work,,65 years and older,female,,,,17.3
2022,percentage,domestic work,,65 years and older,female,,,,16.5
2013,percentage,domestic work,urban,,male,,,,8.8
2022,percentage,domestic work,urban,,male,,,,8.9
2013,percentage,domestic work,rural areas,,male,,,,9.1
2022,percentage,domestic work,rural areas,,male,,,,9.3
2013,percentage,domestic work,,15 years and older,male,,,,9.1
2022,percentage,domestic work,,15 years and older,male,,,,9.3
2013,percentage,domestic work,,15 to under 25 years,male,,,,4.0
2022,percentage,domestic work,,15 to under 25 years,male,,,,4.1
2013,percentage,domestic work,,25 to under 45 years,male,,,,7.5
2022,percentage,domestic work,,25 to under 45 years,male,,,,7.3
2013,percentage,domestic work,,45 to under 55 years,male,,,,9.5
2022,percentage,domestic work,,45 to under 55 years,male,,,,9.0
2013,percentage,domestic work,,55 to under 65 years,male,,,,10.6
2022,percentage,domestic work,,55 to under 65 years,male,,,,10.6
2013,percentage,domestic work,,65 years and older,male,,,,13.4
2022,percentage,domestic work,,65 years and older,male,,,,13.7
2013,percentage,domestic work,urban,15 years and older,,,,,11.5
2022,percentage,domestic work,urban,15 years and older,,,,,11.3
2013,percentage,domestic work,urban,15 to under 25 years,,,,,5.2
2022,percentage,domestic work,urban,15 to under 25 years,,,,,5.6
