Year,Units,timeseries,Value
2010,no unit,ratio of land consumption rate to population growth rate,
2011,no unit,ratio of land consumption rate to population growth rate,6.8
2012,no unit,ratio of land consumption rate to population growth rate,2.0
2013,no unit,ratio of land consumption rate to population growth rate,1.6
2014,no unit,ratio of land consumption rate to population growth rate,1.1
2015,no unit,ratio of land consumption rate to population growth rate,0.3
2016,no unit,ratio of land consumption rate to population growth rate,0.9
2017,no unit,ratio of land consumption rate to population growth rate,1.6
2018,no unit,ratio of land consumption rate to population growth rate,2.3
2019,no unit,ratio of land consumption rate to population growth rate,1.9
2010,2015 = 100,proportion of settlement and transport areas to population,99.6
2011,2015 = 100,proportion of settlement and transport areas to population,100.0
2012,2015 = 100,proportion of settlement and transport areas to population,100.3
2013,2015 = 100,proportion of settlement and transport areas to population,100.5
2014,2015 = 100,proportion of settlement and transport areas to population,100.7
2015,2015 = 100,proportion of settlement and transport areas to population,100.0
2016,2015 = 100,proportion of settlement and transport areas to population,100.0
2017,2015 = 100,proportion of settlement and transport areas to population,100.1
2018,2015 = 100,proportion of settlement and transport areas to population,100.5
2019,2015 = 100,proportion of settlement and transport areas to population,100.7
2010,%,land consumption rate,0.6
2011,%,land consumption rate,0.9
2012,%,land consumption rate,0.5
2013,%,land consumption rate,0.5
2014,%,land consumption rate,0.6
2015,%,land consumption rate,0.4
2016,%,land consumption rate,0.4
2017,%,land consumption rate,0.5
2018,%,land consumption rate,0.6
2019,%,land consumption rate,0.3
2010,%,population growth rate,-0.1
2011,%,population growth rate,0.1
2012,%,population growth rate,0.2
2013,%,population growth rate,0.3
2014,%,population growth rate,0.5
2015,%,population growth rate,1.2
2016,%,population growth rate,0.4
2017,%,population growth rate,0.3
2018,%,population growth rate,0.3
2019,%,population growth rate,0.2
