Year,Units,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,,,,1.9
2011,Millionen EUR,Zusagen,,,,2.4
2012,Millionen EUR,Zusagen,,,,3.1
2013,Millionen EUR,Zusagen,,,,10.1
2014,Millionen EUR,Zusagen,,,,0.1
2015,Millionen EUR,Zusagen,,,,0.1
2016,Millionen EUR,Zusagen,,,,0.1
2017,Millionen EUR,Zusagen,,,,2.3
2018,Millionen EUR,Zusagen,,,,0.1
2019,Millionen EUR,Zusagen,0.0,,,0.0
2020,Millionen EUR,Zusagen,,,,2.0
2021,Millionen EUR,Zusagen,,,,1.8
2022,Millionen EUR,Zusagen,,,,0.8
2023,Millionen EUR,Zusagen,,,,1.5
2024,Millionen EUR,Zusagen,,,,2.2
2010,Millionen EUR,Bruttoauszahlungen,,,,2.6
2011,Millionen EUR,Bruttoauszahlungen,,,,3.3
2012,Millionen EUR,Bruttoauszahlungen,,,,1.8
2013,Millionen EUR,Bruttoauszahlungen,,,,10.6
2014,Millionen EUR,Bruttoauszahlungen,,,,0.1
2015,Millionen EUR,Bruttoauszahlungen,0.0,,,0.0
2016,Millionen EUR,Bruttoauszahlungen,,,,0.1
2017,Millionen EUR,Bruttoauszahlungen,,,,0.1
2018,Millionen EUR,Bruttoauszahlungen,,,,0.5
2019,Millionen EUR,Bruttoauszahlungen,,,,0.9
2020,Millionen EUR,Bruttoauszahlungen,,,,1.1
2021,Millionen EUR,Bruttoauszahlungen,,,,3.1
2022,Millionen EUR,Bruttoauszahlungen,,,,0.9
2023,Millionen EUR,Bruttoauszahlungen,,,,1.8
2024,Millionen EUR,Bruttoauszahlungen,,,,0.7
2010,"Millionen USD, konstante Preise (2024)",Zusagen,,,,3.0
2011,"Millionen USD, konstante Preise (2024)",Zusagen,,,,3.7
2012,"Millionen USD, konstante Preise (2024)",Zusagen,,,,4.6
2013,"Millionen USD, konstante Preise (2024)",Zusagen,,,,14.8
2014,"Millionen USD, konstante Preise (2024)",Zusagen,,,,0.1
2015,"Millionen USD, konstante Preise (2024)",Zusagen,,,,0.1
2016,"Millionen USD, konstante Preise (2024)",Zusagen,,,,0.1
2017,"Millionen USD, konstante Preise (2024)",Zusagen,,,,3.1
2018,"Millionen USD, konstante Preise (2024)",Zusagen,,,,0.1
2019,"Millionen USD, konstante Preise (2024)",Zusagen,,,,0.1
2020,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2.6
2021,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2.3
2022,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1.0
2023,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1.7
2024,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2.3
2010,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,4.0
2011,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,5.0
2012,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2.7
2013,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,15.6
2014,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,0.2
2015,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,0.0,,,0.0
2016,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,0.1
2017,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,0.1
2018,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,0.7
2019,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1.1
2020,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1.5
2021,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,3.9
2022,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1.1
2023,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2.1
2024,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,0.8
