Year,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,15.6
2011,,,,,15.8
2012,,,,,16.1
2013,,,,,16.1
2014,,,,,16.7
2015,,,,,16.7
2016,,,,,16.5
2017,,,,,16.1
2018,,,,,16.0
2019,,,,,14.8
2020,,|,,,16.1
2021,,,,,16.0
2022,,,,,14.8
2023,,,,,14.4
2010,Weiblich,,,,16.4
2011,Weiblich,,,,16.8
2012,Weiblich,,,,17.2
2013,Weiblich,,,,17.2
2014,Weiblich,,,,17.4
2015,Weiblich,,,,17.4
2016,Weiblich,,,,17.8
2017,Weiblich,,,,17.1
2018,Weiblich,,,,16.8
2019,Weiblich,,,,15.7
2020,Weiblich,|,,,16.8
2021,Weiblich,,,,16.6
2022,Weiblich,,,,15.5
2023,Weiblich,,,,15.1
2010,Männlich,,,,14.9
2011,Männlich,,,,14.9
2012,Männlich,,,,14.9
2013,Männlich,,,,15.0
2014,Männlich,,,,15.9
2015,Männlich,,,,15.9
2016,Männlich,,,,15.2
2017,Männlich,,,,15.0
2018,Männlich,,,,15.2
2019,Männlich,,,,13.9
2020,Männlich,|,,,15.3
2021,Männlich,,,,15.4
2022,Männlich,,,,14.0
2023,Männlich,,,,13.7
