Year,Time series,Value
2010,Branches of payment service providers,56.7
2011,Branches of payment service providers,57.1
2012,Branches of payment service providers,54.8
2013,Branches of payment service providers,54.4
2014,Branches of payment service providers,52.9
2015,Branches of payment service providers,48.1
2016,Branches of payment service providers,44.9
2017,Branches of payment service providers,42.2
2018,Branches of payment service providers,39.0
2019,Branches of payment service providers,37.3
2020,Branches of payment service providers,33.7
2010,ATMs of national payment service providers,116.5
2011,ATMs of national payment service providers,121.1
2012,ATMs of national payment service providers,118.5
2013,ATMs of national payment service providers,118.3
2014,ATMs of national payment service providers,123.4
2015,ATMs of national payment service providers,122.3
2016,ATMs of national payment service providers,132.3
2017,ATMs of national payment service providers,132.9
2018,ATMs of national payment service providers,134.4
2019,ATMs of national payment service providers,122.0
2020,ATMs of national payment service providers,122.4
