Year,Units,Value
2010,agricultural area under productive and organic agriculture practices (%),5.6
2011,agricultural area under productive and organic agriculture practices (%),
2012,agricultural area under productive and organic agriculture practices (%),5.8
2013,agricultural area under productive and organic agriculture practices (%),6.0
2014,agricultural area under productive and organic agriculture practices (%),6.2
2015,agricultural area under productive and organic agriculture practices (%),6.3
2016,agricultural area under productive and organic agriculture practices (%),6.8
2017,agricultural area under productive and organic agriculture practices (%),6.8
2018,agricultural area under productive and organic agriculture practices (%),7.3
2010,ecological farming area in total agricultural area (%),5.9
2011,ecological farming area in total agricultural area (%),6.1
2012,ecological farming area in total agricultural area (%),6.2
2013,ecological farming area in total agricultural area (%),6.3
2014,ecological farming area in total agricultural area (%),6.3
2015,ecological farming area in total agricultural area (%),6.5
2016,ecological farming area in total agricultural area (%),7.5
2017,ecological farming area in total agricultural area (%),8.2
2018,ecological farming area in total agricultural area (%),
