Year,Units,Value
2010,victims of human trafficking (per 100 000 inhabitants),0.81
2011,victims of human trafficking (per 100 000 inhabitants),0.84
2012,victims of human trafficking (per 100 000 inhabitants),0.78
2013,victims of human trafficking (per 100 000 inhabitants),0.75
2014,victims of human trafficking (per 100 000 inhabitants),0.72
2015,victims of human trafficking (per 100 000 inhabitants),0.57
2016,victims of human trafficking (per 100 000 inhabitants),0.65
2017,victims of human trafficking (per 100 000 inhabitants),0.81
2018,victims of human trafficking (per 100 000 inhabitants),
2010,exploitation of labour (per 100 000 inhabitants),0.05
2011,exploitation of labour (per 100 000 inhabitants),0.04
2012,exploitation of labour (per 100 000 inhabitants),0.02
2013,exploitation of labour (per 100 000 inhabitants),0.08
2014,exploitation of labour (per 100 000 inhabitants),0.03
2015,exploitation of labour (per 100 000 inhabitants),0.07
2016,exploitation of labour (per 100 000 inhabitants),0.06
2017,exploitation of labour (per 100 000 inhabitants),0.22
2018,exploitation of labour (per 100 000 inhabitants),
2010,sexual exploitation (per 100 000 inhabitants),0.76
2011,sexual exploitation (per 100 000 inhabitants),0.8
2012,sexual exploitation (per 100 000 inhabitants),0.76
2013,sexual exploitation (per 100 000 inhabitants),0.67
2014,sexual exploitation (per 100 000 inhabitants),0.69
2015,sexual exploitation (per 100 000 inhabitants),0.51
2016,sexual exploitation (per 100 000 inhabitants),0.59
2017,sexual exploitation (per 100 000 inhabitants),0.59
2018,sexual exploitation (per 100 000 inhabitants),
2010,victims of human trafficking (number),651.0
2011,victims of human trafficking (number),672.0
2012,victims of human trafficking (number),626.0
2013,victims of human trafficking (number),603.0
2014,victims of human trafficking (number),583.0
2015,victims of human trafficking (number),470.0
2016,victims of human trafficking (number),536.0
2017,victims of human trafficking (number),669.0
2018,victims of human trafficking (number),
2010,exploitation of labour (number),41.0
2011,exploitation of labour (number),32.0
2012,exploitation of labour (number),14.0
2013,exploitation of labour (number),61.0
2014,exploitation of labour (number),26.0
2015,exploitation of labour (number),54.0
2016,exploitation of labour (number),48.0
2017,exploitation of labour (number),180.0
2018,exploitation of labour (number),
2010,sexual exploitation (number),610.0
2011,sexual exploitation (number),640.0
2012,sexual exploitation (number),612.0
2013,sexual exploitation (number),542.0
2014,sexual exploitation (number),557.0
2015,sexual exploitation (number),416.0
2016,sexual exploitation (number),488.0
2017,sexual exploitation (number),489.0
2018,sexual exploitation (number),
