Year,Units,Value
2010,Labour productivity in agriculture,100.0
2011,Labour productivity in agriculture,83.6
2012,Labour productivity in agriculture,84.0
2013,Labour productivity in agriculture,92.1
2014,Labour productivity in agriculture,75.6
2015,Labour productivity in agriculture,96.3
2016,Labour productivity in agriculture,
2017,Labour productivity in agriculture,
2018,Labour productivity in agriculture,
2010,Labour productivity in forestry,100.0
2011,Labour productivity in forestry,124.4
2012,Labour productivity in forestry,119.2
2013,Labour productivity in forestry,131.3
2014,Labour productivity in forestry,168.5
2015,Labour productivity in forestry,124.2
2016,Labour productivity in forestry,
2017,Labour productivity in forestry,
2018,Labour productivity in forestry,
