Year,Units,Value
2010,Material deprivation for the housing dimension (one to four items),17.1
2011,Material deprivation for the housing dimension (one to four items),16.9
2012,Material deprivation for the housing dimension (one to four items),16.6
2013,Material deprivation for the housing dimension (one to four items),15.8
2014,Material deprivation for the housing dimension (one to four items),15.2
2015,Material deprivation for the housing dimension (one to four items),15.3
2016,Material deprivation for the housing dimension (one to four items),15.4
2017,Material deprivation for the housing dimension (one to four items),
2018,Material deprivation for the housing dimension (one to four items),
2010,Population considering their dwelling as too dark,4.2
2011,Population considering their dwelling as too dark,4.1
2012,Population considering their dwelling as too dark,3.9
2013,Population considering their dwelling as too dark,4.4
2014,Population considering their dwelling as too dark,4.4
2015,Population considering their dwelling as too dark,4.0
2016,Population considering their dwelling as too dark,3.9
2017,Population considering their dwelling as too dark,
2018,Population considering their dwelling as too dark,
"2010,""Population living in an area with crime, violence or vandalism"",12.0",,
"2011,""Population living in an area with crime, violence or vandalism"",12.9",,
"2012,""Population living in an area with crime, violence or vandalism"",12.5",,
"2013,""Population living in an area with crime, violence or vandalism"",13.5",,
"2014,""Population living in an area with crime, violence or vandalism"",13.1",,
"2015,""Population living in an area with crime, violence or vandalism"",13.8",,
"2016,""Population living in an area with crime, violence or vandalism"",14.1",,
"2017,""Population living in an area with crime, violence or vandalism"",",,
"2018,""Population living in an area with crime, violence or vandalism"",",,
2010,Population living in an area with noise pollution,25.7
2011,Population living in an area with noise pollution,25.8
2012,Population living in an area with noise pollution,26.1
2013,Population living in an area with noise pollution,26.1
2014,Population living in an area with noise pollution,25.9
2015,Population living in an area with noise pollution,25.8
2016,Population living in an area with noise pollution,25.1
2017,Population living in an area with noise pollution,
2018,Population living in an area with noise pollution,
2010,Population living in households with moisture damages,13.3
2011,Population living in households with moisture damages,13.7
2012,Population living in households with moisture damages,13.5
2013,Population living in households with moisture damages,13.1
2014,Population living in households with moisture damages,12.3
2015,Population living in households with moisture damages,12.8
2016,Population living in households with moisture damages,13.1
2017,Population living in households with moisture damages,
2018,Population living in households with moisture damages,
