Year,Units,Value
2010,fish stocks within biologically sustainable levels (%),37.9
2011,fish stocks within biologically sustainable levels (%),53.3
2012,fish stocks within biologically sustainable levels (%),40.0
2013,fish stocks within biologically sustainable levels (%),60.0
2014,fish stocks within biologically sustainable levels (%),50.0
2015,fish stocks within biologically sustainable levels (%),55.2
2016,fish stocks within biologically sustainable levels (%),56.7
2017,fish stocks within biologically sustainable levels (%),
2018,fish stocks within biologically sustainable levels (%),
2010,monitored fish stocks based on the msy approach that are professionally exploited (%),37.2
2011,monitored fish stocks based on the msy approach that are professionally exploited (%),38.5
2012,monitored fish stocks based on the msy approach that are professionally exploited (%),38.5
2013,monitored fish stocks based on the msy approach that are professionally exploited (%),38.5
2014,monitored fish stocks based on the msy approach that are professionally exploited (%),38.5
2015,monitored fish stocks based on the msy approach that are professionally exploited (%),37.2
2016,monitored fish stocks based on the msy approach that are professionally exploited (%),38.5
2017,monitored fish stocks based on the msy approach that are professionally exploited (%),
2018,monitored fish stocks based on the msy approach that are professionally exploited (%),
