Year,Units,Value
2010,Renewable energy share in gross final energy consumption (according to national definition) (%),11.4
2011,Renewable energy share in gross final energy consumption (according to national definition) (%),12.4
2012,Renewable energy share in gross final energy consumption (according to national definition) (%),13.6
2013,Renewable energy share in gross final energy consumption (according to national definition) (%),13.8
2014,Renewable energy share in gross final energy consumption (according to national definition) (%),14.3
2015,Renewable energy share in gross final energy consumption (according to national definition) (%),15.1
2016,Renewable energy share in gross final energy consumption (according to national definition) (%),14.8
2017,Renewable energy share in gross final energy consumption (according to national definition) (%),15.9
2018,Renewable energy share in gross final energy consumption (according to national definition) (%),16.7
2010,Renewable energy share in total final energy consumption (according to UN definition) (%),10.6
2011,Renewable energy share in total final energy consumption (according to UN definition) (%),11.5
2012,Renewable energy share in total final energy consumption (according to UN definition) (%),11.9
2013,Renewable energy share in total final energy consumption (according to UN definition) (%),12.0
2014,Renewable energy share in total final energy consumption (according to UN definition) (%),13.2
2015,Renewable energy share in total final energy consumption (according to UN definition) (%),14.0
2016,Renewable energy share in total final energy consumption (according to UN definition) (%),14.0
2017,Renewable energy share in total final energy consumption (according to UN definition) (%),
2018,Renewable energy share in total final energy consumption (according to UN definition) (%),
