Year,Units,Value
2010,Growth rate of income of the bottom 40 per cent of the population (%),0.6
2011,Growth rate of income of the bottom 40 per cent of the population (%),1.8
2012,Growth rate of income of the bottom 40 per cent of the population (%),1.5
2013,Growth rate of income of the bottom 40 per cent of the population (%),3.3
2014,Growth rate of income of the bottom 40 per cent of the population (%),3.9
2015,Growth rate of income of the bottom 40 per cent of the population (%),6.5
2016,Growth rate of income of the bottom 40 per cent of the population (%),4.2
2017,Growth rate of income of the bottom 40 per cent of the population (%),3.3
2018,Growth rate of income of the bottom 40 per cent of the population (%),
2010,Growth rate of income of the total population (%),0.2
2011,Growth rate of income of the total population (%),1.8
2012,Growth rate of income of the total population (%),0.4
2013,Growth rate of income of the total population (%),1.0
2014,Growth rate of income of the total population (%),0.3
2015,Growth rate of income of the total population (%),4.5
2016,Growth rate of income of the total population (%),2.8
2017,Growth rate of income of the total population (%),2.0
2018,Growth rate of income of the total population (%),
