Year,Units,Value
2010,rmc (abiotic and biotic material) (mn t),1292.0
2011,rmc (abiotic and biotic material) (mn t),1377.0
2012,rmc (abiotic and biotic material) (mn t),1258.0
2013,rmc (abiotic and biotic material) (mn t),1274.0
2014,rmc (abiotic and biotic material) (mn t),1303.0
2015,rmc (abiotic and biotic material) (mn t),
2016,rmc (abiotic and biotic material) (mn t),
2017,rmc (abiotic and biotic material) (mn t),
2018,rmc (abiotic and biotic material) (mn t),
2010,rmc per capita (t per capita),15.8
2011,rmc per capita (t per capita),17.1
2012,rmc per capita (t per capita),15.6
2013,rmc per capita (t per capita),15.8
2014,rmc per capita (t per capita),16.0
2015,rmc per capita (t per capita),
2016,rmc per capita (t per capita),
2017,rmc per capita (t per capita),
2018,rmc per capita (t per capita),
2010,rmc per real gdp (2010 = 100),100.0
2011,rmc per real gdp (2010 = 100),102.8
2012,rmc per real gdp (2010 = 100),93.5
2013,rmc per real gdp (2010 = 100),94.2
2014,rmc per real gdp (2010 = 100),94.3
2015,rmc per real gdp (2010 = 100),
2016,rmc per real gdp (2010 = 100),
2017,rmc per real gdp (2010 = 100),
2018,rmc per real gdp (2010 = 100),
