Year,Units,Value
2010,Alcohol consumption (conversion by UN factors),
2011,Alcohol consumption (conversion by UN factors),11.9
2012,Alcohol consumption (conversion by UN factors),11.8
2013,Alcohol consumption (conversion by UN factors),11.7
2014,Alcohol consumption (conversion by UN factors),11.6
2015,Alcohol consumption (conversion by UN factors),11.4
2016,Alcohol consumption (conversion by UN factors),11.4
2017,Alcohol consumption (conversion by UN factors),
2018,Alcohol consumption (conversion by UN factors),
2010,Alcohol consumption (conversion by national factors),
2011,Alcohol consumption (conversion by national factors),11.4
2012,Alcohol consumption (conversion by national factors),11.3
2013,Alcohol consumption (conversion by national factors),11.2
2014,Alcohol consumption (conversion by national factors),11.1
2015,Alcohol consumption (conversion by national factors),10.9
2016,Alcohol consumption (conversion by national factors),10.9
2017,Alcohol consumption (conversion by national factors),
2018,Alcohol consumption (conversion by national factors),
