Year,Units,Value
2010,a) branches of payment service providers (per 100 000 adults),56.7
2011,a) branches of payment service providers (per 100 000 adults),57.1
2012,a) branches of payment service providers (per 100 000 adults),54.8
2013,a) branches of payment service providers (per 100 000 adults),54.4
2014,a) branches of payment service providers (per 100 000 adults),52.9
2015,a) branches of payment service providers (per 100 000 adults),48.3
2016,a) branches of payment service providers (per 100 000 adults),45.1
2017,a) branches of payment service providers (per 100 000 adults),42.4
2018,a) branches of payment service providers (per 100 000 adults),
2010,b) atms of national payment service providers (per 100 000 adults),116.5
2011,b) atms of national payment service providers (per 100 000 adults),121.1
2012,b) atms of national payment service providers (per 100 000 adults),118.5
2013,b) atms of national payment service providers (per 100 000 adults),118.3
2014,b) atms of national payment service providers (per 100 000 adults),123.4
2015,b) atms of national payment service providers (per 100 000 adults),122.3
2016,b) atms of national payment service providers (per 100 000 adults),120.4
2017,b) atms of national payment service providers (per 100 000 adults),118.7
2018,b) atms of national payment service providers (per 100 000 adults),
