Year,Units,Value
2010,current tobacco use among persons aged 15 years and older (%),
2011,current tobacco use among persons aged 15 years and older (%),
2012,current tobacco use among persons aged 15 years and older (%),
2013,current tobacco use among persons aged 15 years and older (%),24.5
2014,current tobacco use among persons aged 15 years and older (%),
2015,current tobacco use among persons aged 15 years and older (%),
2016,current tobacco use among persons aged 15 years and older (%),
2017,current tobacco use among persons aged 15 years and older (%),22.4
2018,current tobacco use among persons aged 15 years and older (%),
2010,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),
2011,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),
2012,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),
2013,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),27.6
2014,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),
2015,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),
2016,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),
2017,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),24.4
2018,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),
