Year,Units,Value
2010,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),19.7
2011,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),19.9
2012,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),19.6
2013,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),20.3
2014,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),20.6
2015,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),20.0
2016,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),19.7
2017,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),19.0
2018,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),
2010,extensive material deprivation (%),4.5
2011,extensive material deprivation (%),5.3
2012,extensive material deprivation (%),4.9
2013,extensive material deprivation (%),5.4
2014,extensive material deprivation (%),5.0
2015,extensive material deprivation (%),4.4
2016,extensive material deprivation (%),3.7
2017,extensive material deprivation (%),3.4
2018,extensive material deprivation (%),
