Year,Units,Value
2010,population that has convenient access to public transport (within 500 meters) (%),
2011,population that has convenient access to public transport (within 500 meters) (%),
2012,population that has convenient access to public transport (within 500 meters) (%),
2013,population that has convenient access to public transport (within 500 meters) (%),
2014,population that has convenient access to public transport (within 500 meters) (%),
2015,population that has convenient access to public transport (within 500 meters) (%),
2016,population that has convenient access to public transport (within 500 meters) (%),78.95
2017,population that has convenient access to public transport (within 500 meters) (%),
2018,population that has convenient access to public transport (within 500 meters) (%),79.9
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),94.3
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),94.0
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),94.4
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),92.8
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),94.3
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),93.6
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),93.6
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),94.2
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),
