Year,Units,Value
2010,fatal occupational accidents (per 100 000 employees),1.2
2011,fatal occupational accidents (per 100 000 employees),1.2
2012,fatal occupational accidents (per 100 000 employees),1.2
2013,fatal occupational accidents (per 100 000 employees),1.0
2014,fatal occupational accidents (per 100 000 employees),1.1
2015,fatal occupational accidents (per 100 000 employees),1.0
2016,fatal occupational accidents (per 100 000 employees),0.9
2017,fatal occupational accidents (per 100 000 employees),
2018,fatal occupational accidents (per 100 000 employees),
2010,non-fatal occupational accidents (per 100 000 employees),1976.1
2011,non-fatal occupational accidents (per 100 000 employees),2058.3
2012,non-fatal occupational accidents (per 100 000 employees),1956.3
2013,non-fatal occupational accidents (per 100 000 employees),1900.0
2014,non-fatal occupational accidents (per 100 000 employees),1855.7
2015,non-fatal occupational accidents (per 100 000 employees),1812.3
2016,non-fatal occupational accidents (per 100 000 employees),1834.3
2017,non-fatal occupational accidents (per 100 000 employees),
2018,non-fatal occupational accidents (per 100 000 employees),
