Year,Units,Value
2010,a) police reporting rate for physical assault (%),
2011,a) police reporting rate for physical assault (%),
2012,a) police reporting rate for physical assault (%),32.9
2013,a) police reporting rate for physical assault (%),
2014,a) police reporting rate for physical assault (%),
2015,a) police reporting rate for physical assault (%),
2016,a) police reporting rate for physical assault (%),
2017,a) police reporting rate for physical assault (%),36.6
2018,a) police reporting rate for physical assault (%),
2010,c) police reporting rate for robbery (%),
2011,c) police reporting rate for robbery (%),
2012,c) police reporting rate for robbery (%),33.6
2013,c) police reporting rate for robbery (%),
2014,c) police reporting rate for robbery (%),
2015,c) police reporting rate for robbery (%),
2016,c) police reporting rate for robbery (%),
2017,c) police reporting rate for robbery (%),32.0
2018,c) police reporting rate for robbery (%),
