Year,Units,Value
2010,gross value added of medium- and high-tech industries to total manufacturing value added (%),59.0
2011,gross value added of medium- and high-tech industries to total manufacturing value added (%),59.0
2012,gross value added of medium- and high-tech industries to total manufacturing value added (%),59.0
2013,gross value added of medium- and high-tech industries to total manufacturing value added (%),59.0
2014,gross value added of medium- and high-tech industries to total manufacturing value added (%),61.0
2015,gross value added of medium- and high-tech industries to total manufacturing value added (%),61.0
2016,gross value added of medium- and high-tech industries to total manufacturing value added (%),61.0
2017,gross value added of medium- and high-tech industries to total manufacturing value added (%),54.0
2018,gross value added of medium- and high-tech industries to total manufacturing value added (%),
2010,gross value added of high-tech industries to total manufacturing value added (%),10.0
2011,gross value added of high-tech industries to total manufacturing value added (%),10.0
2012,gross value added of high-tech industries to total manufacturing value added (%),10.0
2013,gross value added of high-tech industries to total manufacturing value added (%),10.0
2014,gross value added of high-tech industries to total manufacturing value added (%),10.0
2015,gross value added of high-tech industries to total manufacturing value added (%),10.0
2016,gross value added of high-tech industries to total manufacturing value added (%),10.0
2017,gross value added of high-tech industries to total manufacturing value added (%),10.0
2018,gross value added of high-tech industries to total manufacturing value added (%),
2010,gross value added of medium-high-tech industries to total manufacturing value added (%),49.0
2011,gross value added of medium-high-tech industries to total manufacturing value added (%),50.0
2012,gross value added of medium-high-tech industries to total manufacturing value added (%),50.0
2013,gross value added of medium-high-tech industries to total manufacturing value added (%),50.0
2014,gross value added of medium-high-tech industries to total manufacturing value added (%),51.0
2015,gross value added of medium-high-tech industries to total manufacturing value added (%),51.0
2016,gross value added of medium-high-tech industries to total manufacturing value added (%),51.0
2017,gross value added of medium-high-tech industries to total manufacturing value added (%),43.0
2018,gross value added of medium-high-tech industries to total manufacturing value added (%),
