Year,Units,Value
2010,energy intensity measured in terms of primary energy and gdp (2010 = 100),100.0
2011,energy intensity measured in terms of primary energy and gdp (2010 = 100),92.3
2012,energy intensity measured in terms of primary energy and gdp (2010 = 100),90.8
2013,energy intensity measured in terms of primary energy and gdp (2010 = 100),92.9
2014,energy intensity measured in terms of primary energy and gdp (2010 = 100),86.9
2015,energy intensity measured in terms of primary energy and gdp (2010 = 100),85.5
2016,energy intensity measured in terms of primary energy and gdp (2010 = 100),85.3
2017,energy intensity measured in terms of primary energy and gdp (2010 = 100),83.2
2018,energy intensity measured in terms of primary energy and gdp (2010 = 100),79.1
2010,energy intensity measured in terms of primary energy and gdp (mj/eur),5.5
2011,energy intensity measured in terms of primary energy and gdp (mj/eur),5.0
2012,energy intensity measured in terms of primary energy and gdp (mj/eur),4.9
2013,energy intensity measured in terms of primary energy and gdp (mj/eur),4.9
2014,energy intensity measured in terms of primary energy and gdp (mj/eur),4.5
2015,energy intensity measured in terms of primary energy and gdp (mj/eur),4.3
2016,energy intensity measured in terms of primary energy and gdp (mj/eur),4.3
2017,energy intensity measured in terms of primary energy and gdp (mj/eur),4.1
2018,energy intensity measured in terms of primary energy and gdp (mj/eur),3.8
