Year,Units,Value
2010,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2011,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2012,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2013,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2014,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2015,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2016,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),83.0
2017,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2018,proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2010,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2011,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2012,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2013,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2014,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2015,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2016,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),55.0
2017,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2018,proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2010,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2011,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2012,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2013,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2014,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2015,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2016,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),51.0
2017,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2018,proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
