Year,Units,Value
2010,government spending on education (cofog section 09) (%),9.2
2011,government spending on education (cofog section 09) (%),9.6
2012,government spending on education (cofog section 09) (%),9.5
2013,government spending on education (cofog section 09) (%),9.6
2014,government spending on education (cofog section 09) (%),9.6
2015,government spending on education (cofog section 09) (%),9.5
2016,government spending on education (cofog section 09) (%),9.4
2017,government spending on education (cofog section 09) (%),9.3
2018,government spending on education (cofog section 09) (%),9.5
2010,government spending on health (cofog section 07) (%),14.7
2011,government spending on health (cofog section 07) (%),15.2
2012,government spending on health (cofog section 07) (%),15.4
2013,government spending on health (cofog section 07) (%),15.7
2014,government spending on health (cofog section 07) (%),16.2
2015,government spending on health (cofog section 07) (%),16.3
2016,government spending on health (cofog section 07) (%),16.2
2017,government spending on health (cofog section 07) (%),16.2
2018,government spending on health (cofog section 07) (%),16.3
2010,government spending on social protection (cofog section 10) (%),42.1
2011,government spending on social protection (cofog section 10) (%),42.0
2012,government spending on social protection (cofog section 10) (%),42.5
2013,government spending on social protection (cofog section 10) (%),42.3
2014,government spending on social protection (cofog section 10) (%),42.6
2015,government spending on social protection (cofog section 10) (%),43.6
2016,government spending on social protection (cofog section 10) (%),43.9
2017,government spending on social protection (cofog section 10) (%),44.1
2018,government spending on social protection (cofog section 10) (%),43.7
