Year,Units,Value
2010,a) Population using safely managed sanitation services (%),
2011,a) Population using safely managed sanitation services (%),98.6
2012,a) Population using safely managed sanitation services (%),98.6
2013,a) Population using safely managed sanitation services (%),99.4
2014,a) Population using safely managed sanitation services (%),99.5
2015,a) Population using safely managed sanitation services (%),99.4
2016,a) Population using safely managed sanitation services (%),99.4
2017,a) Population using safely managed sanitation services (%),99.5
2018,a) Population using safely managed sanitation services (%),
2010,b) Population with a bathtub or a shower (%),
2011,b) Population with a bathtub or a shower (%),99.5
2012,b) Population with a bathtub or a shower (%),99.4
2013,b) Population with a bathtub or a shower (%),99.5
2014,b) Population with a bathtub or a shower (%),99.7
2015,b) Population with a bathtub or a shower (%),99.6
2016,b) Population with a bathtub or a shower (%),99.6
2017,b) Population with a bathtub or a shower (%),99.7
2018,b) Population with a bathtub or a shower (%),
