Year,Units,Value
2010,total municipal solid waste generated (1 000 t),
2011,total municipal solid waste generated (1 000 t),
2012,total municipal solid waste generated (1 000 t),
2013,total municipal solid waste generated (1 000 t),
2014,total municipal solid waste generated (1 000 t),
2015,total municipal solid waste generated (1 000 t),
2016,total municipal solid waste generated (1 000 t),53018.0
2017,total municipal solid waste generated (1 000 t),
2018,total municipal solid waste generated (1 000 t),
2010,municipal solid waste regularly collected and treated (%),100.0
2011,municipal solid waste regularly collected and treated (%),100.0
2012,municipal solid waste regularly collected and treated (%),100.0
2013,municipal solid waste regularly collected and treated (%),100.0
2014,municipal solid waste regularly collected and treated (%),100.0
2015,municipal solid waste regularly collected and treated (%),100.0
2016,municipal solid waste regularly collected and treated (%),100.0
2017,municipal solid waste regularly collected and treated (%),100.0
2018,municipal solid waste regularly collected and treated (%),
