Year,Units,Value
2010,victims of intentional homicide (per 100 000 inhabitants),0.99
2011,victims of intentional homicide (per 100 000 inhabitants),0.92
2012,victims of intentional homicide (per 100 000 inhabitants),0.82
2013,victims of intentional homicide (per 100 000 inhabitants),0.84
2014,victims of intentional homicide (per 100 000 inhabitants),0.88
2015,victims of intentional homicide (per 100 000 inhabitants),0.83
2016,victims of intentional homicide (per 100 000 inhabitants),1.17
2017,victims of intentional homicide (per 100 000 inhabitants),0.98
2018,victims of intentional homicide (per 100 000 inhabitants),
2010,victims of intentional homicide (number),793.0
2011,victims of intentional homicide (number),738.0
2012,victims of intentional homicide (number),659.0
2013,victims of intentional homicide (number),682.0
2014,victims of intentional homicide (number),716.0
2015,victims of intentional homicide (number),682.0
2016,victims of intentional homicide (number),963.0
2017,victims of intentional homicide (number),813.0
2018,victims of intentional homicide (number),788.0
