Year,Units,Value
2010,population subjected to physical violence (%),
2011,population subjected to physical violence (%),
2012,population subjected to physical violence (%),2.7
2013,population subjected to physical violence (%),
2014,population subjected to physical violence (%),
2015,population subjected to physical violence (%),
2016,population subjected to physical violence (%),
2017,population subjected to physical violence (%),3.0
2018,population subjected to physical violence (%),
2010,population who were victims of criminal offences (%),1.2
2011,population who were victims of criminal offences (%),1.2
2012,population who were victims of criminal offences (%),1.2
2013,population who were victims of criminal offences (%),1.2
2014,population who were victims of criminal offences (%),1.2
2015,population who were victims of criminal offences (%),1.2
2016,population who were victims of criminal offences (%),1.2
2017,population who were victims of criminal offences (%),1.2
2018,population who were victims of criminal offences (%),
2010,victims of criminal offences (number),932126.0
2011,victims of criminal offences (number),964945.0
2012,victims of criminal offences (number),976090.0
2013,victims of criminal offences (number),955737.0
2014,victims of criminal offences (number),947568.0
2015,victims of criminal offences (number),946133.0
2016,victims of criminal offences (number),1017602.0
2017,victims of criminal offences (number),1008510.0
2018,victims of criminal offences (number),1025241.0
