Year,Units,Value
2010,Households connected to the electricity network,43315.0
2011,Households connected to the electricity network,44767.0
2012,Households connected to the electricity network,45723.0
2013,Households connected to the electricity network,46105.0
2014,Households connected to the electricity network,46919.0
2015,Households connected to the electricity network,47283.0
2016,Households connected to the electricity network,47607.0
2017,Households connected to the electricity network,
2018,Households connected to the electricity network,
2010,Population with access to electricity,100.0
2011,Population with access to electricity,100.0
2012,Population with access to electricity,100.0
2013,Population with access to electricity,100.0
2014,Population with access to electricity,100.0
2015,Population with access to electricity,100.0
2016,Population with access to electricity,100.0
2017,Population with access to electricity,
2018,Population with access to electricity,
