Year,Units,Value
2010,average hourly earnings of employees (eur/h),
2011,average hourly earnings of employees (eur/h),
2012,average hourly earnings of employees (eur/h),
2013,average hourly earnings of employees (eur/h),
2014,average hourly earnings of employees (eur/h),17.78
2015,average hourly earnings of employees (eur/h),
2016,average hourly earnings of employees (eur/h),
2017,average hourly earnings of employees (eur/h),
2018,average hourly earnings of employees (eur/h),
2010,gender pay gap (%),22.0
2011,gender pay gap (%),22.0
2012,gender pay gap (%),23.0
2013,gender pay gap (%),22.0
2014,gender pay gap (%),22.0
2015,gender pay gap (%),22.0
2016,gender pay gap (%),21.0
2017,gender pay gap (%),21.0
2018,gender pay gap (%),21.0
