Year,Units,Value
2010,land consumption rate  (%),0.6
2011,land consumption rate  (%),0.9
2012,land consumption rate  (%),0.5
2013,land consumption rate  (%),0.5
2014,land consumption rate  (%),0.6
2015,land consumption rate  (%),0.4
2016,land consumption rate  (%),0.4
2017,land consumption rate  (%),0.5
2018,land consumption rate  (%),
2010,population growth rate (%),0.1
2011,population growth rate (%),0.1
2012,population growth rate (%),0.2
2013,population growth rate (%),0.3
2014,population growth rate (%),0.5
2015,population growth rate (%),1.2
2016,population growth rate (%),0.4
2017,population growth rate (%),0.3
2018,population growth rate (%),
2010,proportion of settlement and transport areas to population (2010 = 100),100.0
2011,proportion of settlement and transport areas to population (2010 = 100),100.8
2012,proportion of settlement and transport areas to population (2010 = 100),101.0
2013,proportion of settlement and transport areas to population (2010 = 100),101.2
2014,proportion of settlement and transport areas to population (2010 = 100),101.3
2015,proportion of settlement and transport areas to population (2010 = 100),100.4
2016,proportion of settlement and transport areas to population (2010 = 100),100.4
2017,proportion of settlement and transport areas to population (2010 = 100),100.6
2018,proportion of settlement and transport areas to population (2010 = 100),
2010,ratio of land consumption rate to population growth rate (year-to-year),
2011,ratio of land consumption rate to population growth rate (year-to-year),6.8
2012,ratio of land consumption rate to population growth rate (year-to-year),2.0
2013,ratio of land consumption rate to population growth rate (year-to-year),1.6
2014,ratio of land consumption rate to population growth rate (year-to-year),1.1
2015,ratio of land consumption rate to population growth rate (year-to-year),0.3
2016,ratio of land consumption rate to population growth rate (year-to-year),0.9
2017,ratio of land consumption rate to population growth rate (year-to-year),1.6
2018,ratio of land consumption rate to population growth rate (year-to-year),
