Year,Units,Value
2010,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",2.35
2011,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",2.95
2012,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",3.68
2013,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",11.73
2014,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",0.06
2015,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",0.06
2016,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",0.07
2017,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",2.48
2018,"ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",
2010,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",3.21
2011,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",3.96
2012,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",2.14
2013,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",12.39
2014,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",0.12
2015,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",0.03
2016,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",0.06
2017,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",0.09
2018,"ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (Mn USD, constant prices (2016))",
