Year,Units,Value
2010,a) At least one population and housing census in the last 10 years conducted (Number),0.0
2011,a) At least one population and housing census in the last 10 years conducted (Number),1.0
2012,a) At least one population and housing census in the last 10 years conducted (Number),1.0
2013,a) At least one population and housing census in the last 10 years conducted (Number),1.0
2014,a) At least one population and housing census in the last 10 years conducted (Number),1.0
2015,a) At least one population and housing census in the last 10 years conducted (Number),1.0
2016,a) At least one population and housing census in the last 10 years conducted (Number),1.0
2017,a) At least one population and housing census in the last 10 years conducted (Number),1.0
2018,a) At least one population and housing census in the last 10 years conducted (Number),1.0
2010,b) Birth registration (%),100.0
2011,b) Birth registration (%),100.0
2012,b) Birth registration (%),100.0
2013,b) Birth registration (%),100.0
2014,b) Birth registration (%),100.0
2015,b) Birth registration (%),100.0
2016,b) Birth registration (%),100.0
2017,b) Birth registration (%),100.0
2018,b) Birth registration (%),100.0
2010,c) Death registration (%),100.0
2011,c) Death registration (%),100.0
2012,c) Death registration (%),100.0
2013,c) Death registration (%),100.0
2014,c) Death registration (%),100.0
2015,c) Death registration (%),100.0
2016,c) Death registration (%),100.0
2017,c) Death registration (%),100.0
2018,c) Death registration (%),100.0
