Year,Units,Value
2010,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,0.11
2011,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,0.1
2012,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,0.11
2013,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,0.09
2014,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,0.1
2015,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,0.08
2016,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,0.1
2017,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,
2018,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,
2010,Proportion of net ODA to GNI,0.39
2011,Proportion of net ODA to GNI,0.39
2012,Proportion of net ODA to GNI,0.37
2013,Proportion of net ODA to GNI,0.38
2014,Proportion of net ODA to GNI,0.42
2015,Proportion of net ODA to GNI,0.52
2016,Proportion of net ODA to GNI,0.7
2017,Proportion of net ODA to GNI,
2018,Proportion of net ODA to GNI,
