Year,Zeitreihe,Value
2010,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,
2011,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,98.6
2012,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,98.6
2013,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,99.4
2014,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,99.5
2015,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,99.4
2016,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,99.4
2017,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,99.5
2018,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,99.6
2019,Bevölkerung mit einer sicher verwalteten Abwasserentsorgung,99.3
2010,Bevölkerung mit einer Badewanne oder Dusche,
2011,Bevölkerung mit einer Badewanne oder Dusche,99.5
2012,Bevölkerung mit einer Badewanne oder Dusche,99.4
2013,Bevölkerung mit einer Badewanne oder Dusche,99.5
2014,Bevölkerung mit einer Badewanne oder Dusche,99.7
2015,Bevölkerung mit einer Badewanne oder Dusche,99.6
2016,Bevölkerung mit einer Badewanne oder Dusche,99.6
2017,Bevölkerung mit einer Badewanne oder Dusche,99.7
2018,Bevölkerung mit einer Badewanne oder Dusche,99.7
2019,Bevölkerung mit einer Badewanne oder Dusche,99.5
