Year,sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,95.1
2011,,,,,97.0
2012,,,,,98.6
2013,,,,,99.4
2014,,,,,99.8
2015,,,,,101.6
2016,,,,,100.2
2017,,,,,100.6
2018,,,,,101.4
2019,,,,,100.2
2020,,,,,87.2
2021,,,,,97.3
2022,,,,,97.1
2023,,,,,99.2
2024,,,,,99.6
2010,general services,.,,,
2011,general services,.,,,
2012,general services,,,,101.6
2013,general services,,,,99.6
2014,general services,,,,100.2
2015,general services,,,,100.5
2016,general services,,,,100.9
2017,general services,,,,99.0
2018,general services,,,,98.3
2019,general services,,,,98.0
2020,general services,,,,97.4
2021,general services,,,,96.6
2022,general services,,,,98.8
2023,general services,,,,102.4
2024,general services,,,,99.7
2010,"education, science, research, cultural affairs",.,,,
2011,"education, science, research, cultural affairs",.,,,
2012,"education, science, research, cultural affairs",,,,98.2
2013,"education, science, research, cultural affairs",,,,98.6
2014,"education, science, research, cultural affairs",,,,97.5
2015,"education, science, research, cultural affairs",,,,97.7
2016,"education, science, research, cultural affairs",,,,97.8
2017,"education, science, research, cultural affairs",,,,96.0
2018,"education, science, research, cultural affairs",,,,95.3
2019,"education, science, research, cultural affairs",,,,92.7
2020,"education, science, research, cultural affairs",,,,94.5
2021,"education, science, research, cultural affairs",,,,91.1
2022,"education, science, research, cultural affairs",,,,87.0
2023,"education, science, research, cultural affairs",,,,88.0
2024,"education, science, research, cultural affairs",,,,97.3
2010,"energy and water management, trade, services",.,,,
2011,"energy and water management, trade, services",.,,,
2012,"energy and water management, trade, services",,,,94.6
2013,"energy and water management, trade, services",,,,85.0
2014,"energy and water management, trade, services",,,,97.5
2015,"energy and water management, trade, services",,,,98.1
2016,"energy and water management, trade, services",,,,72.4
2017,"energy and water management, trade, services",,,,69.5
2018,"energy and water management, trade, services",,,,78.7
2019,"energy and water management, trade, services",,,,78.9
2020,"energy and water management, trade, services",,,,35.8
2021,"energy and water management, trade, services",,,,39.0
2022,"energy and water management, trade, services",,,,58.3
2023,"energy and water management, trade, services",,,,70.6
2024,"energy and water management, trade, services",,,,61.9
2010,"food, agriculture and forestry",.,,,
2011,"food, agriculture and forestry",.,,,
2012,"food, agriculture and forestry",,,,95.0
2013,"food, agriculture and forestry",,,,92.8
2014,"food, agriculture and forestry",,,,89.8
2015,"food, agriculture and forestry",,,,87.0
2016,"food, agriculture and forestry",,,,84.4
2017,"food, agriculture and forestry",,,,85.5
2018,"food, agriculture and forestry",,,,88.1
2019,"food, agriculture and forestry",,,,88.7
2020,"food, agriculture and forestry",,,,71.8
2021,"food, agriculture and forestry",,,,74.8
2022,"food, agriculture and forestry",,,,78.8
2023,"food, agriculture and forestry",,,,80.7
2024,"food, agriculture and forestry",,,,82.4
2010,financial services,.,,,
2011,financial services,.,,,
