Year,Units,Stages of the food chain,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"1,000 tonnes",,,,,
2011,"1,000 tonnes",,,,,
2012,"1,000 tonnes",,,,,
2013,"1,000 tonnes",,,,,
2014,"1,000 tonnes",,,,,
2015,"1,000 tonnes",,,,,
2016,"1,000 tonnes",,,,,
2017,"1,000 tonnes",,,,,
2018,"1,000 tonnes",,,,,
2019,"1,000 tonnes",,,,,
2020,"1,000 tonnes",,,,,9147.0
2021,"1,000 tonnes",,,,,9214.0
2022,"1,000 tonnes",,,,,9040.0
2023,"1,000 tonnes",,,,,8859.0
2010,"1,000 tonnes",Restaurants and food services,,,,
2011,"1,000 tonnes",Restaurants and food services,,,,
2012,"1,000 tonnes",Restaurants and food services,,,,
2013,"1,000 tonnes",Restaurants and food services,,,,
2014,"1,000 tonnes",Restaurants and food services,,,,
2015,"1,000 tonnes",Restaurants and food services,,,,
2016,"1,000 tonnes",Restaurants and food services,,,,
2017,"1,000 tonnes",Restaurants and food services,,,,
2018,"1,000 tonnes",Restaurants and food services,,,,
2019,"1,000 tonnes",Restaurants and food services,,,,
2020,"1,000 tonnes",Restaurants and food services,,,,1877.0
2021,"1,000 tonnes",Restaurants and food services,,,,1864.0
2022,"1,000 tonnes",Restaurants and food services,,,,1978.0
2023,"1,000 tonnes",Restaurants and food services,,,,1789.0
2010,"1,000 tonnes",Private households,,,,
2011,"1,000 tonnes",Private households,,,,
2012,"1,000 tonnes",Private households,,,,
2013,"1,000 tonnes",Private households,,,,
2014,"1,000 tonnes",Private households,,,,
2015,"1,000 tonnes",Private households,,,,
2016,"1,000 tonnes",Private households,,,,
2017,"1,000 tonnes",Private households,,,,
2018,"1,000 tonnes",Private households,,,,
2019,"1,000 tonnes",Private households,,,,
2020,"1,000 tonnes",Private households,,,,6496.0
2021,"1,000 tonnes",Private households,,,,6587.0
2022,"1,000 tonnes",Private households,,,,6289.0
2023,"1,000 tonnes",Private households,,,,6345.0
2010,"1,000 tonnes",Retail and other distribution of food,,,,
2011,"1,000 tonnes",Retail and other distribution of food,,,,
2012,"1,000 tonnes",Retail and other distribution of food,,,,
2013,"1,000 tonnes",Retail and other distribution of food,,,,
2014,"1,000 tonnes",Retail and other distribution of food,,,,
2015,"1,000 tonnes",Retail and other distribution of food,,,,
2016,"1,000 tonnes",Retail and other distribution of food,,,,
2017,"1,000 tonnes",Retail and other distribution of food,,,,
2018,"1,000 tonnes",Retail and other distribution of food,,,,
2019,"1,000 tonnes",Retail and other distribution of food,,,,
2020,"1,000 tonnes",Retail and other distribution of food,,,,774.0
2021,"1,000 tonnes",Retail and other distribution of food,,,,762.0
2022,"1,000 tonnes",Retail and other distribution of food,,,,774.0
2023,"1,000 tonnes",Retail and other distribution of food,,,,724.0
2010,Kilogram per capita,,,,,
2011,Kilogram per capita,,,,,
2012,Kilogram per capita,,,,,
2013,Kilogram per capita,,,,,
2014,Kilogram per capita,,,,,
2015,Kilogram per capita,,,,,
2016,Kilogram per capita,,,,,
2017,Kilogram per capita,,,,,
2018,Kilogram per capita,,,,,
2019,Kilogram per capita,,,,,
2020,Kilogram per capita,,,,,110.0
2021,Kilogram per capita,,,,,110.0
2022,Kilogram per capita,,r,,,109.0
2023,Kilogram per capita,,,,,106.0
2010,Kilogram per capita,Private households,,,,
2011,Kilogram per capita,Private households,,,,
2012,Kilogram per capita,Private households,,,,
2013,Kilogram per capita,Private households,,,,
2014,Kilogram per capita,Private households,,,,
2015,Kilogram per capita,Private households,,,,
2016,Kilogram per capita,Private households,,,,
2017,Kilogram per capita,Private households,,,,
2018,Kilogram per capita,Private households,,,,
2019,Kilogram per capita,Private households,,,,
2020,Kilogram per capita,Private households,,,,78.0
2021,Kilogram per capita,Private households,,,,79.0
2022,Kilogram per capita,Private households,r,,,76.0
2023,Kilogram per capita,Private households,,,,76.0
2010,Kilogram per capita,Retail and other distribution of food,,,,
2011,Kilogram per capita,Retail and other distribution of food,,,,
2012,Kilogram per capita,Retail and other distribution of food,,,,
2013,Kilogram per capita,Retail and other distribution of food,,,,
2014,Kilogram per capita,Retail and other distribution of food,,,,
2015,Kilogram per capita,Retail and other distribution of food,,,,
2016,Kilogram per capita,Retail and other distribution of food,,,,
2017,Kilogram per capita,Retail and other distribution of food,,,,
2018,Kilogram per capita,Retail and other distribution of food,,,,
2019,Kilogram per capita,Retail and other distribution of food,,,,
2020,Kilogram per capita,Retail and other distribution of food,,,,9.0
2021,Kilogram per capita,Retail and other distribution of food,,,,9.0
2022,Kilogram per capita,Retail and other distribution of food,,,,9.0
2023,Kilogram per capita,Retail and other distribution of food,,,,9.0
2010,Kilogram per capita,Restaurants and food services,,,,
2011,Kilogram per capita,Restaurants and food services,,,,
2012,Kilogram per capita,Restaurants and food services,,,,
2013,Kilogram per capita,Restaurants and food services,,,,
2014,Kilogram per capita,Restaurants and food services,,,,
2015,Kilogram per capita,Restaurants and food services,,,,
2016,Kilogram per capita,Restaurants and food services,,,,
2017,Kilogram per capita,Restaurants and food services,,,,
2018,Kilogram per capita,Restaurants and food services,,,,
2019,Kilogram per capita,Restaurants and food services,,,,
2020,Kilogram per capita,Restaurants and food services,,,,23.0
2021,Kilogram per capita,Restaurants and food services,,,,22.0
2022,Kilogram per capita,Restaurants and food services,,,,24.0
2023,Kilogram per capita,Restaurants and food services,,,,21.0
