Year,Time series,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,DTP vaccination coverage at school entry,,,,,95.2
2011,DTP vaccination coverage at school entry,,,,,95.6
2012,DTP vaccination coverage at school entry,,,,,95.8
2013,DTP vaccination coverage at school entry,,,,,96.2
2014,DTP vaccination coverage at school entry,,,,,95.7
2015,DTP vaccination coverage at school entry,,,,,95.2
2016,DTP vaccination coverage at school entry,,,,,94.5
2017,DTP vaccination coverage at school entry,,,,,93.5
2018,DTP vaccination coverage at school entry,,,,,93.0
2019,DTP vaccination coverage at school entry,,,,,92.7
2020,DTP vaccination coverage at school entry,,,,,92.4
2021,DTP vaccination coverage at school entry,,.,,,
2022,DTP vaccination coverage at school entry,,,,,95.0
2023,DTP vaccination coverage at school entry,,…,,,
2024,DTP vaccination coverage at school entry,,…,,,
2010,Measles vaccination coverage at school entry,,,,,91.5
2011,Measles vaccination coverage at school entry,,,,,92.1
2012,Measles vaccination coverage at school entry,,,,,92.4
2013,Measles vaccination coverage at school entry,,,,,92.6
2014,Measles vaccination coverage at school entry,,,,,92.8
2015,Measles vaccination coverage at school entry,,,,,92.8
2016,Measles vaccination coverage at school entry,,,,,92.9
2017,Measles vaccination coverage at school entry,,,,,92.8
2018,Measles vaccination coverage at school entry,,,,,93.1
2019,Measles vaccination coverage at school entry,,,,,92.7
2020,Measles vaccination coverage at school entry,,,,,93.2
2021,Measles vaccination coverage at school entry,,.,,,
2022,Measles vaccination coverage at school entry,,.,,,
2023,Measles vaccination coverage at school entry,,,,,97.0
2024,Measles vaccination coverage at school entry,,…,,,
2010,Pneumococcal vaccination coverage at school entry,,,,,15.2
2011,Pneumococcal vaccination coverage at school entry,,,,,41.0
2012,Pneumococcal vaccination coverage at school entry,,,,,68.3
2013,Pneumococcal vaccination coverage at school entry,,,,,84.5
2014,Pneumococcal vaccination coverage at school entry,,,,,85.3
2015,Pneumococcal vaccination coverage at school entry,,,,,86.1
2016,Pneumococcal vaccination coverage at school entry,,,,,84.4
2017,Pneumococcal vaccination coverage at school entry,,,,,83.8
2018,Pneumococcal vaccination coverage at school entry,,,,,83.1
2019,Pneumococcal vaccination coverage at school entry,,,,,83.4
2020,Pneumococcal vaccination coverage at school entry,,,,,82.2
2021,Pneumococcal vaccination coverage at school entry,,.,,,
2022,Pneumococcal vaccination coverage at school entry,,.,,,
2023,Pneumococcal vaccination coverage at school entry,,,,,83.0
2024,Pneumococcal vaccination coverage at school entry,,…,,,
2010,HPV vaccination coverages among 15 years old girls and boys,Female,.,,,
2011,HPV vaccination coverages among 15 years old girls and boys,Female,,,,27.2
2012,HPV vaccination coverages among 15 years old girls and boys,Female,,,,27.2
2013,HPV vaccination coverages among 15 years old girls and boys,Female,,,,29.4
2014,HPV vaccination coverages among 15 years old girls and boys,Female,,,,31.3
2015,HPV vaccination coverages among 15 years old girls and boys,Female,,,,33.5
2016,HPV vaccination coverages among 15 years old girls and boys,Female,,,,36.2
2017,HPV vaccination coverages among 15 years old girls and boys,Female,,,,39.5
2018,HPV vaccination coverages among 15 years old girls and boys,Female,,,,42.6
2019,HPV vaccination coverages among 15 years old girls and boys,Female,,,,47.2
2020,HPV vaccination coverages among 15 years old girls and boys,Female,r,,,51.1
2021,HPV vaccination coverages among 15 years old girls and boys,Female,r,,,53.5
2022,HPV vaccination coverages among 15 years old girls and boys,Female,,,,54.4
2023,HPV vaccination coverages among 15 years old girls and boys,Female,r,,,54.0
2024,HPV vaccination coverages among 15 years old girls and boys,Female,,,,54.8
2010,HPV vaccination coverages among 15 years old girls and boys,Male,.,,,
2011,HPV vaccination coverages among 15 years old girls and boys,Male,.,,,
2012,HPV vaccination coverages among 15 years old girls and boys,Male,.,,,
2013,HPV vaccination coverages among 15 years old girls and boys,Male,.,,,
2014,HPV vaccination coverages among 15 years old girls and boys,Male,.,,,
2015,HPV vaccination coverages among 15 years old girls and boys,Male,.,,,
2016,HPV vaccination coverages among 15 years old girls and boys,Male,.,,,
2017,HPV vaccination coverages among 15 years old girls and boys,Male,.,,,
2018,HPV vaccination coverages among 15 years old girls and boys,Male,,,,0.9
2019,HPV vaccination coverages among 15 years old girls and boys,Male,,,,5.1
2020,HPV vaccination coverages among 15 years old girls and boys,Male,r,,,17.1
2021,HPV vaccination coverages among 15 years old girls and boys,Male,r,,,26.3
2022,HPV vaccination coverages among 15 years old girls and boys,Male,,,,30.8
2023,HPV vaccination coverages among 15 years old girls and boys,Male,r,,,33.6
2024,HPV vaccination coverages among 15 years old girls and boys,Male,,,,36.4
