Year,Units,sex,Value
2010,current tobacco use among persons aged 15 years and older (%),total,
2011,current tobacco use among persons aged 15 years and older (%),total,
2012,current tobacco use among persons aged 15 years and older (%),total,
2013,current tobacco use among persons aged 15 years and older (%),total,24.5
2014,current tobacco use among persons aged 15 years and older (%),total,
2015,current tobacco use among persons aged 15 years and older (%),total,
2016,current tobacco use among persons aged 15 years and older (%),total,
2017,current tobacco use among persons aged 15 years and older (%),total,22.4
2018,current tobacco use among persons aged 15 years and older (%),total,
2010,current tobacco use among persons aged 15 years and older (%),female,
2011,current tobacco use among persons aged 15 years and older (%),female,
2012,current tobacco use among persons aged 15 years and older (%),female,
2013,current tobacco use among persons aged 15 years and older (%),female,20.3
2014,current tobacco use among persons aged 15 years and older (%),female,
2015,current tobacco use among persons aged 15 years and older (%),female,
2016,current tobacco use among persons aged 15 years and older (%),female,
2017,current tobacco use among persons aged 15 years and older (%),female,18.6
2018,current tobacco use among persons aged 15 years and older (%),female,
2010,current tobacco use among persons aged 15 years and older (%),male,
2011,current tobacco use among persons aged 15 years and older (%),male,
2012,current tobacco use among persons aged 15 years and older (%),male,
2013,current tobacco use among persons aged 15 years and older (%),male,29.0
2014,current tobacco use among persons aged 15 years and older (%),male,
2015,current tobacco use among persons aged 15 years and older (%),male,
2016,current tobacco use among persons aged 15 years and older (%),male,
2017,current tobacco use among persons aged 15 years and older (%),male,26.4
2018,current tobacco use among persons aged 15 years and older (%),male,
2010,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,
2011,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,
2012,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,
2013,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,27.6
2014,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,
2015,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,
2016,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,
2017,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,24.4
2018,current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),total,
