Year,Units,timeseries,Value
2010,2010 = 100,labour productivity in agriculture,100.0
2011,2010 = 100,labour productivity in agriculture,83.6
2012,2010 = 100,labour productivity in agriculture,84.0
2013,2010 = 100,labour productivity in agriculture,92.1
2014,2010 = 100,labour productivity in agriculture,102.3
2015,2010 = 100,labour productivity in agriculture,85.5
2016,2010 = 100,labour productivity in agriculture,85.6
2010,2010 = 100,labour productivity in forestry,100.0
2011,2010 = 100,labour productivity in forestry,124.4
2012,2010 = 100,labour productivity in forestry,119.2
2013,2010 = 100,labour productivity in forestry,131.3
2014,2010 = 100,labour productivity in forestry,167.9
2015,2010 = 100,labour productivity in forestry,181.0
2016,2010 = 100,labour productivity in forestry,183.9
