Year,sex,age,Value
2010,,,15.64
2011,,,15.85
2012,,,16.09
2013,,,16.12
2014,,,16.67
2015,,,16.67
2016,,,16.48
2017,,,16.08
2018,,,15.99
2010,female,,16.37
2011,female,,16.8
2012,female,,17.21
2013,female,,17.18
2014,female,,17.39
2015,female,,17.41
2016,female,,17.77
2017,female,,17.1
2018,female,,16.78
2010,male,,14.89
2011,male,,14.87
2012,male,,14.93
2013,male,,15.02
2014,male,,15.93
2015,male,,15.91
2016,male,,15.16
2017,male,,15.03
2018,male,,15.17
2010,,17 years and under,17.54
2011,,17 years and under,15.61
2012,,17 years and under,15.22
2013,,17 years and under,14.72
2014,,17 years and under,15.13
2015,,17 years and under,14.58
2016,,17 years and under,15.41
2017,,17 years and under,15.17
2018,,17 years and under,14.52
2010,,18 to under 65 years,15.63
2011,,18 to under 65 years,16.44
2012,,18 to under 65 years,16.65
2013,,18 to under 65 years,16.88
2014,,18 to under 65 years,17.22
2015,,18 to under 65 years,17.29
2016,,18 to under 65 years,16.39
2017,,18 to under 65 years,16.02
2018,,18 to under 65 years,15.65
2010,,65 years and over,14.1
2011,,65 years and over,14.17
2012,,65 years and over,15.02
2013,,65 years and over,14.93
2014,,65 years and over,16.28
2015,,65 years and over,16.49
2016,,65 years and over,17.65
2017,,65 years and over,17.03
2017,,65 years and over,18.2
