Year,Economic Activity Aggregate,Value
2010,,59.0
2011,,59.0
2012,,59.0
2013,,59.0
2014,,61.0
2015,,61.0
2016,,61.0
2017,,
2018,,
2010,Gross value added of high-tech industries to total manufacturing value added,10.0
2011,Gross value added of high-tech industries to total manufacturing value added,10.0
2012,Gross value added of high-tech industries to total manufacturing value added,10.0
2013,Gross value added of high-tech industries to total manufacturing value added,10.0
2014,Gross value added of high-tech industries to total manufacturing value added,10.0
2015,Gross value added of high-tech industries to total manufacturing value added,10.0
2016,Gross value added of high-tech industries to total manufacturing value added,10.0
2017,Gross value added of high-tech industries to total manufacturing value added,
2018,Gross value added of high-tech industries to total manufacturing value added,
2010,Gross value added of medium-high-tech industries to total manufacturing value added,49.0
2011,Gross value added of medium-high-tech industries to total manufacturing value added,50.0
2012,Gross value added of medium-high-tech industries to total manufacturing value added,50.0
2013,Gross value added of medium-high-tech industries to total manufacturing value added,50.0
2014,Gross value added of medium-high-tech industries to total manufacturing value added,51.0
2015,Gross value added of medium-high-tech industries to total manufacturing value added,51.0
2016,Gross value added of medium-high-tech industries to total manufacturing value added,51.0
2017,Gross value added of medium-high-tech industries to total manufacturing value added,
2018,Gross value added of medium-high-tech industries to total manufacturing value added,
