Year,Units,type of flow,Value
2010,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,38279.57
2011,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,48694.43
2012,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,32046.44
2013,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,46532.85
2014,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,45664.13
2015,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,48113.81
2016,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,49198.57
2017,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,47838.14
2018,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",,
2010,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),1345.86
2011,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),1384.26
2012,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),1291.45
2013,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),1240.61
2014,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),1312.8
2015,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),1395.11
2016,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),1423.65
2017,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),1439.46
2018,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private concessional flows (net disbursements),
2010,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),11938.38
2011,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),12210.31
2012,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),11944.21
2013,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),12469.48
2014,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),14272.37
2015,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),18123.69
2016,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),24735.69
2017,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),24157.03
2018,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oda (net disbursements),
2010,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),62.59
2011,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),-124.9
2012,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),-84.03
2013,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),-74.54
2014,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),131.98
2015,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),1338.22
2016,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),-458.1
2017,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),-344.48
2018,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",oof (net disbursements),
2010,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),3408.32
2011,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),8905.46
2012,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),5789.61
2013,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),4750.81
2014,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),-138.29
2015,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),1885.25
2016,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),3449.52
2017,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),6.12
2018,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",officially supported export credits (net disbursements),
2010,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),21524.43
2011,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),26319.31
2012,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),13105.2
2013,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),28146.48
2014,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),30085.27
2015,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),25371.55
2016,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),20047.81
2017,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),22580.0
2018,"total official and private flows (net disbursements) (mn usd, constant prices (2016))",private sector flows at market terms (net disbursements),
