Year,timeseries,sex (all age groups),age (male and female),Value
2010,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,19.74
2011,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,19.88
2012,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,19.64
2013,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,20.35
2014,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,20.64
2015,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,19.96
2016,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,19.69
2017,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,18.98
2018,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,,18.69
2010,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,20.89
2011,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,21.25
2012,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,21.14
2013,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,21.88
2014,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,21.77
2015,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,21.1
2016,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,21.21
2017,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,20.33
2018,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),female,,19.76
2010,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,18.56
2011,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,18.47
2012,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,18.09
2013,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,18.75
2014,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,19.46
2015,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,18.79
2016,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,18.14
2017,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,17.61
2018,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),male,,17.6
2010,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,21.67
2011,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,19.92
2012,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,18.36
2013,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,19.39
2014,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,19.61
2015,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,18.52
2016,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,19.25
2017,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,18.04
2018,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,17 years and under,17.35
2010,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,20.8
2011,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,21.32
2012,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,21.19
2013,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,22.0
2014,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,21.96
2015,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,21.27
2016,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,20.24
2017,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,19.65
2018,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,18 to under 65 years,18.96
2010,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,14.79
2011,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,15.31
2012,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,15.78
2013,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,15.99
2014,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,17.4
2015,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,17.18
2016,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,18.34
2017,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,17.71
2018,at-risk-of-poverty or social exclusion (according to eurostat definition) (%),,65 years and over,18.97
2010,extensive material deprivation (%),,,4.54
2011,extensive material deprivation (%),,,5.35
2012,extensive material deprivation (%),,,4.86
2013,extensive material deprivation (%),,,5.37
2014,extensive material deprivation (%),,,4.97
2015,extensive material deprivation (%),,,4.41
2016,extensive material deprivation (%),,,3.7
2017,extensive material deprivation (%),,,3.4
2018,extensive material deprivation (%),,,3.11
