Year,Units,sex,age,Value
2010,per 100 000 inhabitants,,,0.99
2011,per 100 000 inhabitants,,,0.92
2012,per 100 000 inhabitants,,,0.82
2013,per 100 000 inhabitants,,,0.84
2014,per 100 000 inhabitants,,,0.88
2015,per 100 000 inhabitants,,,0.83
2016,per 100 000 inhabitants,,,1.17
2017,per 100 000 inhabitants,,,0.98
2010,number,,,793.0
2011,number,,,738.0
2012,number,,,659.0
2013,number,,,682.0
2014,number,,,716.0
2015,number,,,682.0
2016,number,,,963.0
2017,number,,,813.0
2018,number,,,788.0
2010,number,female,,393.0
2011,number,female,,338.0
2012,number,female,,296.0
2013,number,female,,328.0
2014,number,female,,339.0
2015,number,female,,327.0
2016,number,female,,469.0
2017,number,female,,380.0
2018,number,female,,367.0
2010,number,male,,400.0
2011,number,male,,400.0
2012,number,male,,363.0
2013,number,male,,354.0
2014,number,male,,377.0
2015,number,male,,355.0
2016,number,male,,494.0
2017,number,male,,433.0
2018,number,male,,421.0
2010,number,,13 years and under,77.0
2011,number,,13 years and under,73.0
2012,number,,13 years and under,90.0
2013,number,,13 years and under,66.0
2014,number,,13 years and under,63.0
2015,number,,13 years and under,62.0
2016,number,,13 years and under,68.0
2017,number,,13 years and under,67.0
2018,number,,13 years and under,70.0
2010,number,,14 to under 18 years,22.0
2011,number,,14 to under 18 years,27.0
2012,number,,14 to under 18 years,6.0
2013,number,,14 to under 18 years,12.0
2014,number,,14 to under 18 years,15.0
2015,number,,14 to under 18 years,14.0
2016,number,,14 to under 18 years,35.0
2017,number,,14 to under 18 years,4.0
2018,number,,14 to under 18 years,14.0
2010,number,,18 to under 21 years,38.0
2011,number,,18 to under 21 years,29.0
2012,number,,18 to under 21 years,23.0
2013,number,,18 to under 21 years,15.0
2014,number,,18 to under 21 years,20.0
2015,number,,18 to under 21 years,18.0
2016,number,,18 to under 21 years,43.0
2017,number,,18 to under 21 years,16.0
2018,number,,18 to under 21 years,26.0
2010,number,,21 to under 60 years,448.0
2011,number,,21 to under 60 years,424.0
2012,number,,21 to under 60 years,359.0
2013,number,,21 to under 60 years,377.0
2014,number,,21 to under 60 years,405.0
2015,number,,21 to under 60 years,343.0
2016,number,,21 to under 60 years,527.0
2017,number,,21 to under 60 years,414.0
2018,number,,21 to under 60 years,445.0
2010,number,,60 years and over,208.0
2011,number,,60 years and over,185.0
2012,number,,60 years and over,181.0
2013,number,,60 years and over,212.0
2014,number,,60 years and over,213.0
2015,number,,60 years and over,245.0
2016,number,,60 years and over,290.0
2017,number,,60 years and over,312.0
2018,number,,60 years and over,233.0
