Year,education level,subject,Value
2011,b) at the end of lower primary education,mathematics,97.3
2015,b) at the end of lower primary education,mathematics,96.3
2011,b) at the end of lower primary education,reading,97.6
2016,b) at the end of lower primary education,reading,94.5
2012,c) at the end of lower secondary education,mathematics,82.3
2015,c) at the end of lower secondary education,mathematics,82.8
2018,c) at the end of lower secondary education,mathematics,78.8
2012,c) at the end of lower secondary education,reading,85.6
2015,c) at the end of lower secondary education,reading,83.7
2018,c) at the end of lower secondary education,reading,79.3
