Year,timeseries,age,sex,Value
2010,young victims being exploited or intended to being exploited,13 years and under,,11
2011,young victims being exploited or intended to being exploited,13 years and under,,29
2012,young victims being exploited or intended to being exploited,13 years and under,,19
2013,young victims being exploited or intended to being exploited,13 years and under,,18
2014,young victims being exploited or intended to being exploited,13 years and under,,22
2015,young victims being exploited or intended to being exploited,13 years and under,,19
2016,young victims being exploited or intended to being exploited,13 years and under,,36
2017,young victims being exploited or intended to being exploited,13 years and under,,67
2018,young victims being exploited or intended to being exploited,13 years and under,,18
2010,young victims being exploited or intended to being exploited,13 years and under,male,9
2011,young victims being exploited or intended to being exploited,13 years and under,male,16
2012,young victims being exploited or intended to being exploited,13 years and under,male,8
2013,young victims being exploited or intended to being exploited,13 years and under,male,12
2014,young victims being exploited or intended to being exploited,13 years and under,male,13
2015,young victims being exploited or intended to being exploited,13 years and under,male,12
2016,young victims being exploited or intended to being exploited,13 years and under,male,21
2017,young victims being exploited or intended to being exploited,13 years and under,male,51
2018,young victims being exploited or intended to being exploited,13 years and under,male,9
2010,young victims being exploited or intended to being exploited,13 years and under,female,2
2011,young victims being exploited or intended to being exploited,13 years and under,female,13
2012,young victims being exploited or intended to being exploited,13 years and under,female,11
2013,young victims being exploited or intended to being exploited,13 years and under,female,6
2014,young victims being exploited or intended to being exploited,13 years and under,female,9
2015,young victims being exploited or intended to being exploited,13 years and under,female,7
2016,young victims being exploited or intended to being exploited,13 years and under,female,15
2017,young victims being exploited or intended to being exploited,13 years and under,female,16
2018,young victims being exploited or intended to being exploited,13 years and under,female,9
2010,young victims being exploited or intended to being exploited,14 to under 18 years,,108
2011,young victims being exploited or intended to being exploited,14 to under 18 years,,95
2012,young victims being exploited or intended to being exploited,14 to under 18 years,,96
2013,young victims being exploited or intended to being exploited,14 to under 18 years,,92
2014,young victims being exploited or intended to being exploited,14 to under 18 years,,76
2015,young victims being exploited or intended to being exploited,14 to under 18 years,,87
2016,young victims being exploited or intended to being exploited,14 to under 18 years,,111
2017,young victims being exploited or intended to being exploited,14 to under 18 years,,53
2018,young victims being exploited or intended to being exploited,14 to under 18 years,,112
2010,young victims being exploited or intended to being exploited,14 to under 18 years,male,11
2011,young victims being exploited or intended to being exploited,14 to under 18 years,male,13
2012,young victims being exploited or intended to being exploited,14 to under 18 years,male,8
2013,young victims being exploited or intended to being exploited,14 to under 18 years,male,13
2014,young victims being exploited or intended to being exploited,14 to under 18 years,male,10
2015,young victims being exploited or intended to being exploited,14 to under 18 years,male,7
2016,young victims being exploited or intended to being exploited,14 to under 18 years,male,11
2017,young victims being exploited or intended to being exploited,14 to under 18 years,male,4
2018,young victims being exploited or intended to being exploited,14 to under 18 years,male,16
2010,young victims being exploited or intended to being exploited,14 to under 18 years,female,97
2011,young victims being exploited or intended to being exploited,14 to under 18 years,female,82
2012,young victims being exploited or intended to being exploited,14 to under 18 years,female,88
2013,young victims being exploited or intended to being exploited,14 to under 18 years,female,79
2014,young victims being exploited or intended to being exploited,14 to under 18 years,female,66
2015,young victims being exploited or intended to being exploited,14 to under 18 years,female,80
2016,young victims being exploited or intended to being exploited,14 to under 18 years,female,100
2017,young victims being exploited or intended to being exploited,14 to under 18 years,female,49
2018,young victims being exploited or intended to being exploited,14 to under 18 years,female,96
