Year,Units,area of law,Value
2010,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,
2011,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,
2012,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,
2013,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,
2014,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,
2015,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,
2016,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,
2017,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,
2018,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",employment and economic benefits,100.0
2010,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,
2011,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,
2012,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,
2013,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,
2014,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,
2015,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,
2016,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,
2017,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,
2018,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",marriage and family,100.0
2010,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,
2011,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,
2012,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,
2013,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,
2014,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,
2015,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,
2016,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,
2017,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,
2018,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",overarching legal frameworks and public life,64.0
2010,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,
2011,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,
2012,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,
2013,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,
2014,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,
2015,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,
2016,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,
2017,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,
2018,"legal frameworks that promote, enforce and monitor gender equality regarding (%):",violence against women,69.0
