Year,Units,Value
2010,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2011,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2012,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2013,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2014,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2015,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2016,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),83.0
2017,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2018,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),
2010,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2011,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2012,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2013,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2014,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2015,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2016,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),55.0
2017,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2018,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),
2010,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2011,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2012,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2013,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2014,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2015,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2016,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),51.0
2017,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
2018,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),
