Year,timeseries,Value
2011,a) population using safely managed sanitation services (%),98.6
2012,a) population using safely managed sanitation services (%),98.61
2013,a) population using safely managed sanitation services (%),99.4
2014,a) population using safely managed sanitation services (%),99.52
2015,a) population using safely managed sanitation services (%),99.42
2016,a) population using safely managed sanitation services (%),99.4
2017,a) population using safely managed sanitation services (%),99.53
2019,a) population using safely managed sanitation services (%),99.62
2011,b) population with a bathtub or a shower (%),99.46
2012,b) population with a bathtub or a shower (%),99.39
2013,b) population with a bathtub or a shower (%),99.52
2014,b) population with a bathtub or a shower (%),99.66
2015,b) population with a bathtub or a shower (%),99.56
2016,b) population with a bathtub or a shower (%),99.55
2017,b) population with a bathtub or a shower (%),99.69
2019,b) population with a bathtub or a shower (%),99.69
