Year,Units,timeseries,level of risk of extinction,Value
2011,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,74.0
2013,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,75.0
2015,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,77.0
2017,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,77.0
2015,%,level of risk of extinction (according to fao classification),a) at risk,45.45
2015,%,level of risk of extinction (according to fao classification),b) not at risk,54.55
2015,%,level of risk of extinction (according to fao classification),c) unknown,0.0
2011,%,level of risk of extinction (according to national classification),a) not at risk,29.7
2013,%,level of risk of extinction (according to national classification),a) not at risk,30.7
2015,%,level of risk of extinction (according to national classification),a) not at risk,28.6
2017,%,level of risk of extinction (according to national classification),a) not at risk,29.9
2011,%,level of risk of extinction (according to national classification),b) under observation,39.2
2013,%,level of risk of extinction (according to national classification),b) under observation,42.7
2015,%,level of risk of extinction (according to national classification),b) under observation,46.8
2017,%,level of risk of extinction (according to national classification),b) under observation,46.8
2011,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,24.3
2013,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,20.0
2015,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,18.2
2017,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,16.9
2011,%,level of risk of extinction (according to national classification),d) rudiments remaining,6.8
2013,%,level of risk of extinction (according to national classification),d) rudiments remaining,6.7
2015,%,level of risk of extinction (according to national classification),d) rudiments remaining,6.5
2017,%,level of risk of extinction (according to national classification),d) rudiments remaining,6.5
