Year,speed,Value
2010,,32.0
2011,,33.94
2012,,34.71
2013,,35.48
2014,,36.45
2015,,37.36
2016,,38.78
2017,,40.1
2018,,41.2
2010,a) over 144 kbps to under 2 mbps,4.1
2011,a) over 144 kbps to under 2 mbps,4.08
2012,a) over 144 kbps to under 2 mbps,2.56
2013,a) over 144 kbps to under 2 mbps,1.94
2014,a) over 144 kbps to under 2 mbps,1.6
2015,a) over 144 kbps to under 2 mbps,1.22
2016,a) over 144 kbps to under 2 mbps,0.85
2017,a) over 144 kbps to under 2 mbps,0.36
2018,a) over 144 kbps to under 2 mbps,0.36
2010,b) 2 mbps to under 10 mbps,18.15
2011,b) 2 mbps to under 10 mbps,19.25
2012,b) 2 mbps to under 10 mbps,18.5
2013,b) 2 mbps to under 10 mbps,13.92
2014,b) 2 mbps to under 10 mbps,14.29
2015,b) 2 mbps to under 10 mbps,9.61
2016,b) 2 mbps to under 10 mbps,7.27
2017,b) 2 mbps to under 10 mbps,6.04
2018,b) 2 mbps to under 10 mbps,4.58
2010,c) 10 mbps to under 30 mbps,8.32
2011,c) 10 mbps to under 30 mbps,7.82
2012,c) 10 mbps to under 30 mbps,9.49
2013,c) 10 mbps to under 30 mbps,14.05
2014,c) 10 mbps to under 30 mbps,12.81
2015,c) 10 mbps to under 30 mbps,16.06
2016,c) 10 mbps to under 30 mbps,16.6
2017,c) 10 mbps to under 30 mbps,15.58
2018,c) 10 mbps to under 30 mbps,13.49
2010,d) 30 mbps to under 100 mbps,1.38
2011,d) 30 mbps to under 100 mbps,2.66
2012,d) 30 mbps to under 100 mbps,3.76
2013,d) 30 mbps to under 100 mbps,4.66
2014,d) 30 mbps to under 100 mbps,5.91
2015,d) 30 mbps to under 100 mbps,7.67
2016,d) 30 mbps to under 100 mbps,9.69
2017,d) 30 mbps to under 100 mbps,12.2
2018,d) 30 mbps to under 100 mbps,14.57
2010,e) 100 mbps and over,0.05
2011,e) 100 mbps and over,0.12
2012,e) 100 mbps and over,0.4
2013,e) 100 mbps and over,0.92
2014,e) 100 mbps and over,1.85
2015,e) 100 mbps and over,2.8
2016,e) 100 mbps and over,4.36
2017,e) 100 mbps and over,5.92
2018,e) 100 mbps and over,8.19
