Year,Units,Value
2010,a) Police reporting rate for physical assault (%),
2011,a) Police reporting rate for physical assault (%),
2012,a) Police reporting rate for physical assault (%),32.9
2013,a) Police reporting rate for physical assault (%),
2014,a) Police reporting rate for physical assault (%),
2015,a) Police reporting rate for physical assault (%),
2016,a) Police reporting rate for physical assault (%),
2017,a) Police reporting rate for physical assault (%),36.6
2018,a) Police reporting rate for physical assault (%),
2010,c) Police reporting rate for robbery (%),
2011,c) Police reporting rate for robbery (%),
2012,c) Police reporting rate for robbery (%),33.6
2013,c) Police reporting rate for robbery (%),
2014,c) Police reporting rate for robbery (%),
2015,c) Police reporting rate for robbery (%),
2016,c) Police reporting rate for robbery (%),
2017,c) Police reporting rate for robbery (%),32.0
2018,c) Police reporting rate for robbery (%),
